library,version,sign,date
orchestrator-beans,0.1-SNAPSHOT,+,2014-09-25
orchestrator-beans,0.1,+,2014-09-25
SlipStreamPersistence,2.3.0,-,2014-10-14
SlipStreamPersistence,2.11,-,2015-07-20
SlipStreamPersistence,2.3.0,+,2014-10-13
junit,4.11,+,2015-07-20
junit,4.4,-,2014-09-25
junit,3.8.1,+,2015-07-27
junit,4.11,-,2015-07-27
junit,4.11,+,2014-10-14
junit,3.8.1,+,2014-10-14
junit,3.8.1,+,2014-10-03
junit,4.11,-,2014-10-14
junit,4.11,-,2014-10-03
junit,3.8.1,-,2014-10-14
junit,4.4,+,2014-09-25
junit,4.11,+,2014-09-25
junit,4.11,+,2014-09-26
junit,4.11,-,2014-09-26
junit,3.8.1,-,2015-07-27
junit,3.8.1,+,2014-09-26
rSYBL-data-processing-unit,0.1-SNAPSHOT,-,2014-09-25
rSYBL-data-processing-unit,0.1-SNAPSHOT,-,2014-09-26
rSYBL-data-processing-unit,1.0-SNAPSHOT,-,2014-10-03
rSYBL-data-processing-unit,0.1-SNAPSHOT,+,2014-09-25
rSYBL-data-processing-unit,1.0-SNAPSHOT,+,2014-10-03
rSYBL-data-processing-unit,1.0-SNAPSHOT,+,2014-09-26
rSYBL-data-processing-unit,0.1-SNAPSHOT,-,2014-10-13
json,20090211,+,2014-09-26
json,20090211,+,2014-09-25
json,20090211,-,2014-09-26
json,20090211,+,2015-07-20
json,20090211,-,2014-10-03
rSYBL-cloud-application-dependency-graph,0.1-SNAPSHOT,-,2014-09-25
rSYBL-cloud-application-dependency-graph,0.1-SNAPSHOT,-,2014-09-26
rSYBL-cloud-application-dependency-graph,1.0-SNAPSHOT,+,2015-07-27
rSYBL-cloud-application-dependency-graph,0.1-SNAPSHOT,+,2014-09-26
rSYBL-cloud-application-dependency-graph,1.0-SNAPSHOT,-,2014-10-03
rSYBL-cloud-application-dependency-graph,0.1-SNAPSHOT,+,2014-09-25
rSYBL-cloud-application-dependency-graph,1.0-SNAPSHOT,+,2014-10-03
rSYBL-cloud-application-dependency-graph,1.0-SNAPSHOT,+,2014-09-26
rSYBL-cloud-application-dependency-graph,0.1-SNAPSHOT,-,2014-10-13
orchestrator-client,0.1,+,2014-01-28
orchestrator-client,0.1,-,2014-10-03
orchestrator-client,0.1,-,2014-09-25
jsch,0.1.49,+,2014-09-25
jsch,0.1.49,-,2014-09-25
rSYBL-cloud-interaction-unit,0.1-SNAPSHOT,-,2014-09-25
rSYBL-cloud-interaction-unit,0.1-SNAPSHOT,-,2014-09-26
rSYBL-cloud-interaction-unit,1.0-SNAPSHOT,-,2014-10-14
rSYBL-cloud-interaction-unit,1.0-SNAPSHOT,-,2014-10-03
rSYBL-cloud-interaction-unit,0.1-SNAPSHOT,+,2014-09-25
rSYBL-cloud-interaction-unit,1.0-SNAPSHOT,+,2014-10-03
rSYBL-cloud-interaction-unit,1.0-SNAPSHOT,+,2014-09-26
rSYBL-cloud-interaction-unit,0.1-SNAPSHOT,-,2014-10-13
log4j,1.2.17,-,2014-10-03
log4j,1.2.17,-,2014-09-26
log4j,1.2.17,+,2014-09-26
log4j,1.2.17,+,2015-07-27
