library,version,sign,date
slf4j-api,1.7.0,-,2012-09-26
cglib,3.2.5,+,2013-04-05
cglib,2.2.2,-,2013-04-05
junit,4.11,-,2013-04-05
junit,4.10,-,2012-11-28
junit,4.12,+,2013-04-05
junit,4.11,+,2012-11-28
logback-classic,1.0.7,-,2012-10-01
jcl-over-slf4j,1.7.0,-,2012-10-08
jsr305,3.0.2,+,2013-04-05
jsr305,2.0.1,-,2013-04-05
jsr305,2.0.1,+,2012-10-01
jsr305,2.0.0,-,2012-10-01
guava,14.0.1,+,2013-03-12
guava,13.0.1,-,2013-03-12
guava,22.0,+,2013-04-05
guava,14.0.1,-,2013-04-05
aspectjweaver,1.8.10,+,2013-04-05
aspectjweaver,1.7.1,-,2013-04-05
aspectjweaver,1.7.0,-,2012-10-08
spring-context,3.1.2.RELEASE,-,2012-10-01
spring-context,3.1.2.RELEASE,+,2012-09-26
javax.inject,1,+,2013-02-13
