library,version,sign,date
javax.servlet-api,3.0.1,+,2013-10-18
javax.servlet-api,3.0.1,+,2013-03-08
javax.servlet-api,3.0.1,-,2014-01-27
javax.servlet-api,3.0.1,-,2013-03-08
javax.servlet-api,3.0.1,-,2013-10-18
spring-test,3.2.2.RELEASE,+,2013-09-17
spring-test,3.2.2.RELEASE,+,2014-01-27
spring-test,3.2.2.RELEASE,-,2014-01-27
spring-test,3.2.2.RELEASE,-,2015-07-04
spring-test,3.2.14.RELEASE,+,2015-07-04
assertj-core,1.5.0,+,2014-02-04
assertj-core,1.5.0,-,2014-05-24
webjars-locator,0.5,-,2013-11-02
webjars-locator,0.4,-,2013-09-17
webjars-locator,0.23,+,2015-05-03
webjars-locator,0.9,-,2014-03-17
webjars-locator,0.9,-,2014-01-27
webjars-locator,0.3,-,2013-04-22
webjars-locator,0.12,-,2015-05-03
webjars-locator,0.12,+,2014-03-17
webjars-locator,0.9,+,2014-01-27
jquery,1.11.0,+,2014-02-04
