library,version,sign,date
junit,4.8.1,+,2011-02-08
junit,4.8.1,-,2011-02-08
zcommons-el,1.1.0,+,2011-02-16
slf4j-log4j12,1.5.8,+,2011-02-16
hsqldb,1.8.0.7,+,2011-02-16
ZKLiferay,1.1,-,2011-03-23
ZKLiferay,1.0,-,2011-02-16
ZKLiferay,1.1-SNAPSHOT,+,2011-03-23
ZKLiferay,1.3.0,+,2011-03-23
ZKLiferay,1.0,+,2011-02-08
commons-collections,3.2.1,-,2011-02-13
commons-collections,3.2.1,+,2011-02-08
commons-collections,3.2.1,+,2011-02-16
commons-collections,3.2.1,+,2011-02-13
commons-dbcp,1.2.1,+,2011-02-16
spring-web,3.0.5.RELEASE,+,2011-03-23
ZKDLComponentsHibernateExt,1.1,-,2011-03-23
ZKDLComponentsHibernateExt,1.0,-,2011-02-16
ZKDLComponentsHibernateExt,0.9-SNAPSHOT,-,2011-02-13
ZKDLComponentsHibernateExt,1.0,+,2011-02-13
ZKComposer,1.1,-,2011-03-23
ZKComposer,1.0,-,2011-02-16
ZKComposer,0.9-SNAPSHOT,-,2011-02-13
ZKComposer,1.3.0,+,2011-03-23
ZKComposer,1.0,+,2011-02-13
SpringService,1.1,-,2011-03-23
SpringService,1.0,-,2011-02-16
SpringService,0.9-SNAPSHOT,-,2011-02-13
SpringService,1.3.0,+,2011-03-23
SpringService,1.0,+,2011-02-13
slf4j-api,1.5.8,+,2011-02-16
portal-service,6.0.5,+,2011-03-21
portal-service,6.0.5,-,2011-02-08
ZKStatistics,1.0,-,2011-02-16
ZKStatistics,0.9-SNAPSHOT,-,2011-02-13
ZKStatistics,1.0,+,2011-02-13
ZKStatistics,0.9-SNAPSHOT,+,2011-02-08
ZKDLComponents,1.1,-,2011-03-23
ZKDLComponents,1.0,-,2011-02-16
ZKDLComponents,0.9-SNAPSHOT,-,2011-02-13
ZKDLComponents,1.3.1,+,2011-03-23
ZKDLComponents,1.3.0,+,2011-03-23
spring-security-core,3.0.3.RELEASE,-,2011-02-08
ZKComponents,1.1,-,2011-03-23
ZKComponents,1.0,-,2011-02-16
ZKComponents,0.9-SNAPSHOT,-,2011-02-13
ZKComponents,1.0,+,2011-02-13
