library,version,sign,date
jstl,1.1.2,+,2012-06-21
standard,1.1.2,+,2012-06-21
plants-service,1.0-SNAPSHOT,+,2012-06-21
plants-service,1.0-SNAPSHOT,+,2012-06-12
plants-service,1.0-SNAPSHOT,-,2012-06-12
plants-service,1.0-SNAPSHOT,+,2012-06-04
junit,3.8.1,-,2012-06-12
junit,4.8.2,+,2012-06-04
junit,4.10,+,2012-06-12
junit,3.8.2,+,2012-06-21
junit,3.8.1,+,2012-06-12
slf4j-log4j12,1.5.2,+,2012-06-12
slf4j-log4j12,1.5.2,-,2012-06-12
slf4j-log4j12,1.5.2,+,2012-06-04
slf4j-log4j12,1.5.2,+,2012-06-21
slf4j-log4j12,1.5.2,+,2012-06-06
slf4j-log4j12,1.5.2,+,2012-06-08
spring-webmvc,3.0.5.RELEASE,+,2012-06-21
plants-messaging,1.0-SNAPSHOT,+,2012-06-21
plants-messaging,1.0-SNAPSHOT,+,2012-06-12
javax.xml.rpc,3.1.2,+,2012-06-12
javax.xml.rpc,3.1.2,+,2012-06-04
javax.xml.rpc,3.1.2,-,2012-06-12
plants-persistence,1.0-SNAPSHOT,+,2012-06-21
plants-persistence,1.0-SNAPSHOT,+,2012-06-12
plants-persistence,1.0-SNAPSHOT,-,2012-06-12
plants-persistence,1.0-SNAPSHOT,+,2012-06-04
servlet-api,6.0.35,+,2012-06-04
