library,version,sign,date
javax.transaction-api,1.2,-,2019-06-05
javax.transaction-api,1.3,+,2019-06-06
javax.transaction-api,1.3,-,2019-06-06
javax.transaction-api,1.3,+,2019-01-23
javax.transaction-api,1.1-rev-1,-,2019-06-05
javax.transaction-api,1.3,-,2019-06-05
slf4j-log4j12,1.6.6,-,2020-05-03
slf4j-log4j12,1.6.6,+,2020-05-03
slf4j-log4j12,1.6.1,+,2016-11-25
slf4j-log4j12,1.6.1,-,2020-05-03
jakarta.xml.bind-api,2.3.2,+,2020-05-03
h2,1.3.155,+,2020-05-03
h2,1.3.155,+,2016-11-25
h2,1.3.155,-,2020-05-03
hibernate-core,5.2.6.Final,+,2016-11-25
mockito-core,1.10.19,+,2016-01-11
mockito-core,1.10.19,+,2016-11-25
log4j,1.2.16,+,2016-11-25
log4j,1.2.16,-,2020-05-03
log4j,1.2.17,+,2020-05-03
log4j,1.2.17,-,2020-05-03
