library,version,sign,date
antlr4-runtime,4.0,+,2013-10-29
antlr4-runtime,4.1,-,2013-09-03
antlr4-runtime,4.0,-,2013-11-03
antlr4-runtime,4.0,-,2014-01-30
antlr4-runtime,4.0,+,2014-01-30
antlr4-runtime,4.0,+,2013-11-03
antlr4-runtime,4.0,+,2013-11-30
antlr4-runtime,4.0,-,2013-10-07
antlr4-runtime,4.0,+,2013-11-29
antlr4-runtime,4.0,+,2013-11-26
antlr4-runtime,4.0,+,2013-11-25
antlr4-runtime,4.0,-,2016-01-14
antlr4-runtime,4.0,-,2013-11-30
antlr4-runtime,4.0,-,2013-12-03
antlr4-runtime,4.0,+,2013-10-07
antlr4-runtime,4.1,+,2013-09-01
antlr4-runtime,4.0,-,2013-11-29
commons-pool,1.4,-,2013-12-03
commons-pool,1.4,-,2013-10-07
commons-pool,1.4,+,2013-10-07
commons-pool,1.4,+,2013-11-30
commons-pool,1.4,-,2013-11-30
commons-pool,1.4,-,2014-01-30
commons-pool,1.4,-,2013-11-03
commons-pool,1.4,+,2013-11-29
commons-pool,1.4,-,2013-11-29
commons-pool,1.4,+,2013-11-03
commons-pool,1.4,+,2013-11-26
commons-pool,1.4,+,2014-01-30
commons-pool,1.4,+,2013-09-02
gs-openspaces,9.7.0-SNAPSHOT,+,2013-10-07
gs-openspaces,9.7.0-SNAPSHOT,-,2013-11-03
gs-openspaces,10.0.0-SNAPSHOT,-,2014-01-30
gs-openspaces,9.7.0-SNAPSHOT,-,2013-11-30
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-30
gs-openspaces,10.0.0-SNAPSHOT,-,2014-02-12
gs-openspaces,9.7.0-SNAPSHOT,-,2013-11-29
gs-openspaces,9.7.0-SNAPSHOT,+,2013-09-01
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-29
gs-openspaces,9.7.0-SNAPSHOT,-,2013-09-01
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-26
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-25
gs-openspaces,9.7.0-SNAPSHOT,-,2013-12-03
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-03
gs-openspaces,9.7.0-SNAPSHOT,+,2013-11-01
gs-openspaces,9.7.0-SNAPSHOT,-,2013-10-07
gs-openspaces,10.0.0-SNAPSHOT,+,2014-01-30
gs-openspaces,9.7.0-SNAPSHOT,-,2014-01-23
mongo-java-driver,2.11.2,+,2013-10-29
mongo-java-driver,2.11.2,+,2013-11-03
mongo-java-driver,2.11.2,-,2013-10-07
mongo-java-driver,2.11.2,-,2013-11-03
mongo-java-driver,2.11.2,+,2013-09-01
mongo-java-driver,2.11.2,-,2015-12-23
mongo-java-driver,2.11.2,+,2013-11-25
mongo-java-driver,2.11.2,+,2013-11-26
mongo-java-driver,2.11.2,-,2014-01-30
mongo-java-driver,2.11.2,+,2013-11-29
mongo-java-driver,2.11.2,+,2013-11-30
mongo-java-driver,2.11.2,-,2013-11-29
mongo-java-driver,2.11.2,+,2014-01-30
mongo-java-driver,2.11.2,+,2013-10-07
mongo-java-driver,2.11.2,-,2013-11-30
mongo-java-driver,2.11.2,-,2013-12-03
commons-compress,1.5,+,2013-11-01
commons-compress,1.5,+,2013-11-30
commons-compress,1.5,-,2013-11-30
commons-compress,1.5,+,2014-01-30
commons-compress,1.5,-,2014-01-30
commons-compress,1.5,-,2013-11-29
commons-compress,1.5,+,2013-11-29
commons-compress,1.5,+,2013-11-26
de.flapdoodle.embed.mongo,1.40,-,2013-11-01
de.flapdoodle.embed.mongo,1.33,-,2013-11-30
de.flapdoodle.embed.mongo,1.33,+,2014-01-30
de.flapdoodle.embed.mongo,1.40,+,2013-10-29
de.flapdoodle.embed.mongo,1.33,-,2014-01-30
de.flapdoodle.embed.mongo,1.33,-,2013-11-29
de.flapdoodle.embed.mongo,1.33,+,2013-11-26
de.flapdoodle.embed.mongo,1.33,+,2013-11-30
de.flapdoodle.embed.mongo,1.33,+,2013-11-29
