library,version,sign,date
graphql-java,1.0,+,2015-07-28
graphql-java,2.4.0,-,2017-05-07
graphql-java,1.2,-,2015-10-09
graphql-java,2.0.0,-,2016-06-20
graphql-java,2.3.0,-,2017-04-24
graphql-java,2.2.0,+,2016-06-20
graphql-java,1.0,-,2015-08-14
graphql-java,2.2.0,-,2017-03-28
graphql-java,1.3,-,2016-04-09
junit,4.11,+,2016-06-20
junit,4.11,-,2016-06-20
reflections,0.9.10,+,2015-06-30
reflections,0.9.10,+,2016-06-20
reflections,0.9.10,-,2016-06-20
reflections,0.9.10,-,2018-04-08
reflections,0.9.11,+,2018-04-08
org.osgi.service.component.annotations,1.3.0,+,2017-05-07
graphql-java-annotations,0.8.1,-,2016-06-20
graphql-java-annotations,0.7.0,+,2016-04-09
graphql-java-annotations,0.8.1,-,2017-04-24
graphql-java-annotations,0.8.1,+,2016-06-20
graphql-java-annotations,0.7.0,-,2016-04-14
metrics-healthchecks,3.2.2,-,2018-04-08
metrics-healthchecks,3.1.2,-,2016-06-20
metrics-healthchecks,3.1.1,-,2016-04-01
metrics-healthchecks,3.1.2,-,2017-05-20
metrics-healthchecks,3.1.1,+,2015-07-06
metrics-healthchecks,3.1.2,+,2016-06-20
metrics-annotation,3.2.2,-,2018-04-08
metrics-annotation,3.1.1,+,2015-07-08
metrics-annotation,3.1.2,-,2016-06-20
metrics-annotation,3.1.1,-,2016-04-01
metrics-annotation,3.1.2,-,2017-05-20
metrics-annotation,3.1.2,+,2016-06-20
commons-beanutils,1.9.2,-,2016-06-20
commons-beanutils,1.9.3,-,2018-04-08
commons-beanutils,1.9.2,+,2016-06-20
commons-beanutils,1.9.2,-,2017-05-20
commons-beanutils,1.9.3,+,2018-04-08
mockito-core,1.9.5,+,2016-06-20
mockito-core,1.9.5,-,2016-06-20
javax.ws.rs-api,2.0.1,+,2016-06-20
javax.ws.rs-api,2.0.1,-,2016-06-20
javax.ws.rs-api,2.0.1,+,2015-06-24
dropwizard-jooq,0.9.1-1,-,2017-01-02
dropwizard-jooq,0.9.1-1,+,2015-11-20
dropwizard-jooq,0.9.1-1,+,2016-06-20
dropwizard-jooq,0.9.1-1,-,2016-06-20
dropwizard-jooq,1.0.0-2,-,2018-04-08
