library,version,sign,date
logback-classic,1.1.1,-,2014-09-04
logback-classic,1.1.1,+,2014-04-15
logback-classic,1.1.1,-,2014-04-15
jakarta.activation,1.2.1,+,2019-08-14
jakarta.activation,1.2.1,+,2019-10-07
jakarta.activation,1.2.1,-,2019-10-07
annotations,3.0.0,+,2014-09-02
annotations,3.0.0,-,2014-09-04
mesos,1.1.2,+,2018-02-21
mesos,0.19.1,+,2014-07-04
mesos,0.28.1,+,2016-05-17
mesos,1.1.2,+,2017-09-21
mesos,0.21.0,-,2015-06-26
mesos,0.19.1,+,2014-09-04
mesos,0.28.2,+,2016-06-16
mesos,0.28.2,-,2017-09-21
mesos,0.23.0,+,2015-08-17
mesos,1.6.1,+,2018-10-01
mesos,0.17.0,-,2014-04-30
mesos,0.28.1,-,2016-06-16
mesos,0.18.0,-,2014-07-04
mesos,1.6.1,-,2019-02-14
mesos,1.1.2,-,2018-10-01
mesos,0.20.1,-,2014-12-10
mesos,0.19.1,-,2014-09-03
mesos,0.23.0,-,2015-08-17
mesos,0.19.1,-,2014-09-04
mesos,1.8.0,+,2019-02-14
mesos,0.23.0,+,2015-10-06
mesos,1.1.2,-,2018-02-21
mesos,0.18.0,+,2014-04-30
mesos,0.20.1,+,2014-09-03
mesos,0.23.0,-,2016-05-17
mesos,0.21.0,+,2014-12-10
docker-client,3.1.5,-,2017-05-01
docker-client,2.7.20,-,2015-10-08
docker-client,2.7.6,-,2015-04-21
docker-client,2.7.6,+,2015-04-05
hibernate-validator,5.0.2.Final,-,2014-10-21
hibernate-validator,5.1.1.Final,-,2015-06-26
hibernate-validator,5.0.2.Final,+,2014-09-04
handlebars,1.3.1,-,2015-06-26
handlebars,1.3.1,-,2014-09-04
handlebars,1.3.1,+,2014-05-23
handlebars,1.3.1,+,2014-09-04
protobuf-java,2.6.1,+,2017-09-21
protobuf-java,2.5.0,-,2015-06-26
protobuf-java,2.5.0,+,2014-09-04
protobuf-java,2.6.1,-,2017-11-30
SingularityBase,0.3.7-SNAPSHOT,+,2014-05-27
SingularityBase,0.3.2,-,2014-04-29
SingularityBase,0.3.4,-,2014-05-07
SingularityBase,0.3.1,-,2014-04-29
SingularityBase,0.3.3,-,2014-05-07
SingularityBase,0.3.7-SNAPSHOT,-,2014-07-04
SingularityBase,0.3.6-SNAPSHOT,-,2014-05-20
SingularityBase,0.3.0,-,2014-04-24
SingularityBase,0.3.0,+,2014-04-15
SingularityBase,0.3.5,-,2014-05-09
SingularityRunnerBase,0.3.6-SNAPSHOT,-,2014-05-20
SingularityRunnerBase,0.3.0,-,2014-04-24
SingularityRunnerBase,0.3.2,-,2014-04-29
SingularityRunnerBase,0.3.4,-,2014-05-07
SingularityRunnerBase,0.3.0,+,2014-04-15
SingularityRunnerBase,0.3.1,-,2014-04-29
SingularityRunnerBase,0.3.3,-,2014-05-07
SingularityRunnerBase,0.3.7-SNAPSHOT,-,2014-07-04
SingularityRunnerBase,0.3.5,-,2014-05-09
SingularityRunnerBase,0.3.3,+,2014-05-01
guava,17.0,+,2014-07-04
guava,15.0,-,2014-07-04
guava,15.0,+,2014-05-07
guava,17.0,-,2014-09-04
guice,3.0,-,2014-09-04
httpcore,4.4,-,2015-06-26
httpcore,4.4.1,-,2015-04-21
httpcore,4.4.1,+,2015-04-05
httpcore,4.4,+,2015-04-21
