library,version,sign,date
junit,4.8,-,2016-08-15
junit,4.12,+,2018-10-22
junit,4.12,-,2018-08-02
junit,4.12,+,2018-08-02
junit,4.12,-,2018-10-22
junit,4.8,-,2016-08-23
junit,4.12,-,2016-08-19
eclipse-collections,7.1.0,+,2018-08-02
eclipse-collections,7.1.0,+,2016-09-07
eclipse-collections,7.1.0,-,2018-08-02
eclipse-collections,7.1.0,-,2016-09-07
lucene-highlighter,5.3.0,-,2016-09-05
lucene-highlighter,5.5.2,-,2018-08-02
lucene-highlighter,4.2.1,-,2016-09-07
lucene-highlighter,5.5.2,+,2018-08-02
lucene-highlighter,5.2.1,-,2016-08-23
lucene-highlighter,5.5.2,-,2019-07-31
lucene-core,5.3.0,-,2016-09-05
lucene-core,5.5.2,-,2018-08-02
lucene-core,4.2.1,-,2016-09-07
lucene-core,5.5.2,+,2018-08-02
lucene-core,5.2.1,-,2016-08-23
lucene-core,5.5.2,-,2019-07-31
jackson-databind,2.9.7,-,2018-12-07
jackson-databind,2.8.9,+,2017-06-12
jackson-databind,2.8.9,-,2018-08-31
jackson-databind,2.9.8,-,2019-07-30
jackson-databind,[2.9.8,),-,2019-03-15
jackson-core,2.9.7,-,2018-12-07
jackson-core,2.8.9,+,2017-06-12
jackson-core,2.8.9,-,2018-08-31
jackson-core,2.9.8,-,2019-07-30
jackson-core,[2.9.8,),-,2019-03-15
commons-io,2.5,+,2018-08-02
commons-io,2.5,-,2018-10-22
commons-io,2.5,-,2019-07-30
commons-io,2.5,-,2018-08-02
commons-io,2.4,-,2016-09-07
commons-io,2.5,-,2016-08-19
commons-io,2.5,+,2018-10-22
commons-io,2.5,+,2016-08-23
commons-io,2.5,+,2016-08-05
lucene-backward-codecs,5.3.0,-,2016-09-05
lucene-backward-codecs,5.5.2,-,2018-08-02
lucene-backward-codecs,5.5.2,+,2018-08-02
lucene-backward-codecs,5.2.1,-,2016-08-23
lucene-backward-codecs,5.5.2,-,2019-07-31
commons-text,1.4,+,2018-08-23
Saxon-HE,9.9.1-5,+,2019-07-31
lucene-queries,5.3.0,-,2016-09-05
lucene-queries,5.5.2,-,2018-08-02
lucene-queries,4.2.1,-,2016-09-07
lucene-queries,5.5.2,+,2018-08-02
lucene-queries,5.2.1,-,2016-08-23
lucene-queries,5.5.2,-,2019-07-31
fastutil,8.2.1,+,2018-08-21
jackson-dataformat-yaml,2.8.9,-,2018-08-02
jackson-dataformat-yaml,2.9.7,-,2018-12-07
jackson-dataformat-yaml,2.8.9,+,2017-06-12
jackson-dataformat-yaml,2.8.9,-,2018-08-31
jackson-dataformat-yaml,2.9.8,-,2019-07-30
jackson-dataformat-yaml,[2.9.8,),-,2019-03-15
jackson-dataformat-yaml,2.8.9,+,2018-08-02
vtd-xml,2.13.4,-,2018-08-02
vtd-xml,2.13.4,+,2017-08-07
vtd-xml,2.13,+,2017-07-10
vtd-xml,2.13.4,+,2018-08-02
vtd-xml,2.13,-,2017-08-07
lucene-analyzers-common,5.3.0,-,2016-09-05
lucene-analyzers-common,5.5.2,-,2018-08-02
lucene-analyzers-common,4.2.1,-,2016-09-07
lucene-analyzers-common,5.5.2,+,2018-08-02
lucene-analyzers-common,5.2.1,-,2016-08-23
lucene-analyzers-common,5.5.2,-,2019-07-31
commons-compress,1.13,+,2018-08-02
commons-compress,1.10,-,2016-09-07
commons-compress,1.13,-,2018-08-02
commons-compress,1.13,-,2018-10-17
commons-compress,1.18,+,2018-10-17
commons-compress,1.9,-,2016-09-07
lucene-misc,5.3.0,-,2016-09-05
lucene-misc,5.5.2,-,2018-08-02
lucene-misc,5.5.2,+,2018-08-02
lucene-misc,5.2.1,-,2016-08-23
lucene-misc,5.5.2,-,2019-07-31
lucene-queryparser,5.3.0,-,2016-09-05
lucene-queryparser,5.5.2,-,2018-08-02
lucene-queryparser,4.2.1,-,2016-09-07
lucene-queryparser,5.5.2,+,2018-08-02
lucene-queryparser,5.2.1,-,2016-08-23
lucene-queryparser,5.5.2,-,2019-07-31
commons-lang3,3.5,-,2019-07-30
commons-lang3,3.5,+,2018-08-02
commons-lang3,3.8,-,2019-07-30
commons-lang3,3.5,-,2018-08-23
commons-lang3,3.5,-,2018-08-02
commons-lang3,3.5,-,2018-10-22
commons-lang3,3.5,+,2018-10-22
commons-lang3,3.5,+,2016-09-07
mockito-core,2.20.1,+,2018-08-03
mockito-core,2.1.0-beta.121,-,2016-09-07
mockito-core,2.7.14,+,2018-08-02
mockito-core,2.1.0-beta.121,+,2016-08-23
mockito-core,2.7.14,-,2018-08-02
mockito-core,2.1.0-beta.121,+,2016-09-05
mockito-core,2.7.14,-,2018-08-03
mockito-core,2.7.14,+,2016-09-07
log4j-core,2.8,-,2018-08-02
log4j-core,2.8,+,2016-09-07
log4j-core,2.8,-,2018-10-22
log4j-core,2.8,-,2019-07-30
log4j-core,2.8,+,2018-08-02
log4j-core,2.8,+,2018-10-22
commons-csv,1.4,+,2016-09-07
commons-csv,1.4,-,2018-10-22
commons-csv,1.4,-,2018-08-02
commons-csv,1.4,+,2017-07-13
commons-csv,1.4,+,2018-08-02
commons-csv,1.4,+,2018-10-22
