library,version,sign,date
lucene-snowball,2.9.2,+,2011-06-16
lucene-snowball,2.9.2,-,2011-06-16
lucene-highlighter,2.9.2,+,2011-06-16
lucene-highlighter,2.9.2,-,2011-06-16
lucene-core,2.9.2,+,2011-06-16
lucene-core,2.9.2,-,2011-06-16
slf4j-log4j12,1.4.2,-,2011-09-14
ojdbc5,11.1.0.7.0,+,2011-03-10
ojdbc5,11.1.0.7.0,-,2011-02-17
lucene-spatial,2.9.2,+,2011-06-16
lucene-spatial,2.9.2,-,2011-06-16
h2,1.2.132,-,2011-02-17
h2,1.2.132,-,2011-09-14
commons-beanutils,1.7.0,-,2011-09-14
jutils,1.0,+,2011-03-10
jutils,1.0,-,2011-07-15
jutils,1.1,-,2011-06-16
jutils,1.4,+,2012-02-03
jutils,1.2,-,2012-02-03
jutils,1.1,-,2011-07-15
jutils,1.0,-,2011-03-10
mysql-connector-java,5.1.6,+,2011-03-10
hibernate-validator,4.0.2.GA,+,2011-06-16
hibernate-validator,4.0.2.GA,-,2011-06-16
hibernate-annotations,3.4.0.GA,+,2011-06-16
hibernate-annotations,3.5.0-Final,-,2011-06-16
hibernate-annotations,3.4.0.GA,-,2011-06-16
hibernate-annotations,3.5.0-Final,+,2011-06-16
lucene-queries,2.9.2,+,2011-06-16
lucene-queries,2.9.2,-,2011-06-16
lucene-spellchecker,2.9.2,+,2011-06-16
lucene-spellchecker,2.9.2,-,2011-06-16
hibernate-entitymanager,3.5.0-Final,-,2011-06-16
hibernate-entitymanager,3.5.0-Final,+,2011-06-16
lucene-memory,2.9.2,+,2011-06-16
lucene-memory,2.9.2,-,2011-06-16
solr-core,1.4.0,+,2011-06-16
solr-core,1.4.0,-,2011-06-16
lucene-misc,2.9.2,+,2011-06-16
lucene-misc,2.9.2,-,2011-06-16
hibernate-search,3.2.0.CR1,+,2011-06-16
hibernate-search,3.2.0.CR1,-,2011-06-16
solr-solrj,1.4.0,+,2011-06-16
solr-solrj,1.4.0,-,2011-06-16
