library,version,sign,date
core,3.0.1-SNAPSHOT,-,2013-10-24
core,3.0.1-SNAPSHOT,+,2013-09-19
core,3.0.1-SNAPSHOT,+,2013-10-24
core,3.0.1-SNAPSHOT,+,2013-09-13
jsp-api,2.1,+,2013-09-19
jsp-api,2.1,-,2013-10-24
jsp-api,2.1,+,2013-10-24
jsp-api,2.1,+,2013-09-13
jsp-api,2.1,+,2013-09-12
jsp-api,2.1,-,2013-09-12
dashboard,3.0.1-SNAPSHOT,-,2013-10-24
dashboard,3.0.1-SNAPSHOT,+,2013-10-24
servlet-api,2.5,+,2013-09-12
servlet-api,2.5,+,2013-09-13
servlet-api,2.5,+,2013-09-19
servlet-api,2.5,-,2013-10-24
servlet-api,2.5,-,2013-12-05
servlet-api,2.5,+,2013-10-24
servlet-api,2.5,-,2013-09-12
