library,version,sign,date
hibernate-jpa-2.0-api,1.0.1.Final,+,2014-05-09
hibernate-jpa-2.0-api,1.0.1.Final,+,2013-11-25
plexus-interactivity-api,1.0-alpha-6,+,2014-06-23
hamcrest-core,1.3,+,2013-11-09
hamcrest-core,1.3,-,2016-02-19
junit,4.11,-,2015-01-21
junit,4.11,+,2013-06-27
hamcrest-library,1.3,+,2013-06-27
hamcrest-library,1.3,-,2016-02-19
maven-plugin-annotations,3.4,-,2016-02-18
maven-plugin-annotations,3.2,-,2014-05-15
maven-plugin-annotations,3.2,+,2013-09-28
maven-plugin-annotations,3.3,-,2016-02-18
powermock-module-junit4,1.6.4,+,2016-02-18
powermock-module-junit4,1.5.5,+,2014-06-23
powermock-module-junit4,1.6.4,-,2016-02-19
powermock-module-junit4,1.5.5,-,2014-06-24
plexus-component-annotations,1.5.5,+,2014-06-25
plexus-component-annotations,1.5.5,-,2016-02-18
plexus-component-annotations,1.6,-,2016-02-18
annotations,3.0.1,-,2016-05-20
annotations,3.0.1,-,2016-02-18
annotations,2.0.3,-,2016-02-18
javaparser-core,2.0.0,-,2015-01-14
javaparser-core,2.0.0,+,2015-02-26
powermock-api-mockito,1.6.4,+,2016-02-18
powermock-api-mockito,1.5.5,+,2014-06-23
powermock-api-mockito,1.6.4,-,2016-02-19
powermock-api-mockito,1.5.5,-,2014-06-24
commons-io,1.3.2,+,2013-10-10
commons-io,2.4,-,2016-05-20
commons-io,1.3.2,-,2013-10-13
slf4j-api,1.7.16,-,2016-02-18
slf4j-api,1.7.5,+,2013-11-27
slf4j-api,1.7.16,-,2016-05-20
slf4j-api,1.7.7,-,2016-02-18
slf4j-api,1.7.5,-,2014-03-18
javax.servlet-api,3.0.1,-,2014-03-18
javax.servlet-api,3.0.1,+,2014-02-14
hibernate-annotations,3.5.6-Final,+,2014-05-09
hibernate-annotations,3.5.6-Final,+,2013-10-26
maven-plugin-testing-harness,3.1.0,-,2016-02-18
maven-plugin-testing-harness,2.1,+,2013-09-25
maven-plugin-testing-harness,3.3.0,-,2016-02-18
maven-plugin-testing-harness,2.1,-,2014-04-11
maven-compat,3.0.5,-,2013-09-28
maven-compat,3.0.5,+,2013-09-25
plexus-utils,3.0.10,-,2014-03-18
plexus-utils,3.0.22,-,2016-02-18
plexus-utils,3.0.17,-,2016-02-18
plexus-utils,3.0.22,-,2016-05-20
plexus-utils,3.0.10,+,2013-11-09
spring-data-commons,1.8.0.RELEASE,-,2016-02-18
spring-data-commons,1.6.2.RELEASE,-,2014-05-15
spring-data-commons,1.11.2.RELEASE,-,2016-02-18
spring-data-commons,1.6.2.RELEASE,+,2014-05-13
spring-data-commons,1.11.2.RELEASE,-,2016-05-20
spring-data-commons,1.12.1.RELEASE,-,2016-05-20
guava,17.0-rc2,-,2014-05-15
guava,15.0,-,2014-03-18
guava,17.0,-,2016-02-18
guava,19.0,-,2016-02-18
guava,15.0,+,2013-11-13
maven-runtime,1.0-alpha-3,+,2014-06-23
mockito-core,1.10.19,-,2016-02-18
mockito-core,1.9.5,-,2016-02-18
mockito-core,1.9.5,+,2013-09-25
mockito-core,1.10.19,+,2016-02-19
javassist,3.18.0-GA,+,2013-11-13
javassist,3.20.0-GA,-,2016-02-18
javassist,3.18.0-GA,+,2013-06-27
javassist,3.18.2-GA,-,2016-02-18
javassist,3.18.1-GA,-,2014-05-15
javassist,3.18.0-GA,-,2014-03-18
javassist,3.18.0-GA,-,2013-11-13
