library,version,sign,date
xercesImpl,2.4.0,+,2014-03-20
xercesImpl,2.4.0,-,2014-03-20
xercesImpl,2.4.0,+,2013-02-06
xercesImpl,2.4.0,-,2011-01-31
xercesImpl,2.4.0,-,2013-02-06
xwiki-core-rendering-macro-toc,2.0.4,+,2014-03-20
xwiki-core-rendering-macro-toc,2.0.4,-,2014-03-20
xwiki-core-component-default,2.0.4,+,2014-03-20
xwiki-core-component-default,2.0.4,-,2014-03-20
commons-logging,1.1.1,-,2013-02-06
commons-logging,1.1.1,-,2014-03-20
commons-logging,1.1.1,+,2013-02-06
commons-logging,1.1.1,+,2014-03-20
xwiki-core-rendering-macro-box,2.0.4,+,2014-03-20
xwiki-core-rendering-macro-box,2.0.4,-,2014-03-20
commons-beanutils,1.8.2,-,2013-02-06
commons-beanutils,1.8.2,-,2014-03-20
commons-beanutils,1.8.2,+,2013-02-06
commons-beanutils,1.8.2,+,2014-03-20
xwiki-core-rendering-parser-wikimodel,2.0.4,+,2014-03-20
xwiki-core-rendering-parser-wikimodel,2.0.4,-,2014-03-20
commons-lang,2.4,-,2014-03-20
commons-lang,2.4,-,2013-02-06
commons-lang,2.4,+,2014-03-20
commons-lang,2.4,+,2013-02-06
