library,version,sign,date
standard,1.1.2,-,2011-03-25
standard,1.1.2,+,2011-03-25
standard,1.1.2,+,2009-10-05
standard,1.1.2,-,2009-10-05
jaxen,1.1.1,-,2015-03-17
jaxen,1.1.6,-,2019-10-03
jaxen,1.1.1,+,2011-10-12
commons-io,1.4,-,2019-10-10
commons-io,1.4,+,2011-10-12
commons-io,1.4,+,2009-10-05
commons-io,1.4,-,2009-10-05
commons-io,2.6,-,2019-10-10
commons-io,1.4,-,2010-01-13
commons-lang,2.5,+,2011-10-12
commons-lang,2.5,-,2019-10-07
dom4j,2.1.1,-,2019-10-10
dom4j,2.1.1,-,2020-04-26
dom4j,1.6.1,-,2019-10-10
dom4j,2.1.3,-,2020-04-26
dom4j,1.6.1,+,2011-10-12
ehcache-spring-annotations,1.2.0,+,2011-09-15
ehcache,2.10.4,+,2017-11-20
ehcache,1.6.0,-,2011-03-25
ehcache,1.6.0,-,2011-05-17
ehcache,1.6.0,+,2009-10-05
ehcache,1.6.0,+,2011-03-25
resource-server-utils,1.0.4,-,2009-10-05
resource-server-utils,1.0.0-RC1,-,2009-03-17
AjaxPortletSupport,1.0.4,-,2009-10-04
AjaxPortletSupport,1.0.8,-,2010-01-13
AjaxPortletSupport,1.0.9,+,2011-03-25
AjaxPortletSupport,1.0.5-SNAPSHOT,-,2009-10-05
AjaxPortletSupport,1.0.8,+,2009-10-05
AjaxPortletSupport,1.0.0-SNAPSHOT,-,2009-03-17
AjaxPortletSupport,1.0.9,-,2011-03-25
portlet-api,1.0,-,2011-03-25
portlet-api,1.0,-,2009-10-05
portlet-api,1.0,-,2013-06-06
portlet-api,1.0,+,2009-10-05
portlet-api,1.0,+,2011-03-25
rome,1.0,+,2012-03-08
junit,4.4,+,2011-03-25
junit,4.2,-,2011-03-25
junit,4.8.2,-,2017-09-26
junit,4.12,-,2019-11-08
junit,4.2,+,2009-10-05
junit,4.4,-,2013-06-06
hsqldb,2.3.2,+,2014-04-18
commons-httpclient,3.1,-,2019-10-10
commons-httpclient,3.0.1,-,2010-01-13
commons-httpclient,3.0.1,+,2013-06-06
commons-httpclient,3.0.1,-,2019-10-10
commons-httpclient,3.0.1,+,2009-10-05
commons-collections,3.2,-,2015-11-20
commons-collections,3.2,+,2011-10-12
json-lib-ext-spring,1.0,-,2011-03-25
json-lib-ext-spring,1.0,-,2009-10-05
json-lib-ext-spring,1.0,+,2009-10-05
json-lib-ext-spring,1.0,+,2011-03-25
lombok,1.18.10,-,2020-02-10
lombok,1.18.10,-,2019-10-10
lombok,1.16.18,+,2017-11-24
lombok,1.16.18,-,2019-10-10
jasypt-spring31,1.9.2,-,2020-02-10
jasypt-spring31,1.9.3,-,2020-02-10
jasypt-spring31,1.9.2,-,2020-04-26
jasypt-spring31,1.9.2,+,2016-09-24
jaxb2-basics-runtime,0.6.0,+,2011-03-25
jstl,1.1.2,-,2011-03-25
jstl,1.1.2,+,2011-03-25
jstl,1.1.2,+,2009-10-05
jstl,1.1.2,-,2009-10-05
groovy-all,1.6.4,-,2011-03-25
groovy-all,1.6.4,-,2017-11-20
groovy-all,1.6.4,+,2011-03-25
groovy-all,1.6.4,+,2009-10-05
mockito-core,1.10.19,-,2020-04-26
mockito-core,1.8.4,-,2019-10-04
mockito-core,1.8.0,+,2009-10-05
mockito-core,1.10.19,-,2019-10-04
mockito-core,1.8.4,+,2011-03-25
mockito-core,1.8.4,-,2019-10-07
mockito-core,1.8.0,-,2011-03-25
httpclient,4.5.11,-,2020-03-11
httpclient,4.5.10,-,2019-10-09
httpclient,4.5.10,-,2020-01-10
httpclient,4.3.6,-,2019-10-09
httpclient,4.1,+,2011-03-25
httpclient,4.1,-,2018-05-14
servlet-api,2.4,+,2009-10-05
servlet-api,2.4,-,2011-05-17
servlet-api,2.4,-,2011-03-25
servlet-api,2.4,-,2009-10-05
servlet-api,2.4,+,2011-03-25
servlet-api,2.3,-,2009-03-17
pluto-taglib,1.1.5,-,2009-10-05
pluto-taglib,1.1.5,+,2011-03-25
pluto-taglib,1.1.5,-,2011-03-25
pluto-taglib,1.1.5,-,2014-05-28
pluto-taglib,1.1.5,+,2009-10-05
