library,version,sign,date
rome,1.5.0,-,2015-08-11
rome,0.9,-,2010-04-16
rome,1.0,-,2015-08-09
rome,1.5.1,-,2019-10-01
rome,1.12.2,-,2019-10-01
rome,0.9,-,2010-10-05
rome,0.9,+,2010-10-05
rome,0.9,+,2010-04-16
rome,0.9,-,2011-03-15
junit,4.2,-,2011-03-15
junit,4.8.2,-,2015-08-09
junit,4.12,-,2019-12-16
junit,4.2,-,2010-10-05
junit,4.13,+,2019-12-16
junit,4.12,+,2015-08-09
junit,4.2,+,2010-10-05
junit,4.4,-,2011-05-16
logback-classic,1.1.7,-,2016-04-21
logback-classic,1.1.7,+,2016-04-20
jackson-databind,2.3.0,+,2015-08-26
jackson-databind,2.10.2,-,2020-03-03
jackson-databind,2.9.5,-,2019-12-05
jackson-databind,2.9.5,-,2019-11-10
jackson-databind,2.10.1,-,2020-01-05
jackson-databind,2.9.10.1,-,2019-12-16
jackson-databind,2.9.10.1,-,2019-11-10
jackson-databind,2.11.0,-,2020-05-15
jackson-databind,2.10.3,-,2020-05-15
jackson-databind,2.9.5,-,2018-05-27
jackson-databind,2.3.0,-,2015-08-26
jackson-databind,2.3.0,+,2015-08-09
jackson-databind,2.3.0,-,2018-05-27
jackson-databind,2.3.0,-,2018-05-24
jackson-databind,2.10.3,-,2020-05-21
rome-modules,1.5.0,-,2015-08-11
rome-modules,1.5.1,-,2019-10-01
rome-modules,1.5.0,+,2015-08-09
commons-collections,3.2.1,-,2015-12-11
commons-collections,3.2.1,+,2008-08-07
commons-collections,3.2.1,+,2010-10-05
commons-collections,3.2.1,+,2010-04-16
commons-collections,3.2.1,-,2010-10-05
commons-collections,3.2.1,-,2010-04-16
jackson-core,2.9.5,-,2019-10-01
jackson-core,2.3.0,+,2015-08-26
jackson-core,2.10.1,-,2020-01-05
jackson-core,2.10.2,-,2020-01-05
jackson-core,2.11.0,-,2020-05-15
jackson-core,2.10.3,-,2020-05-15
jackson-core,2.9.5,-,2018-05-27
jackson-core,2.3.0,-,2015-08-26
jackson-core,2.10.0,-,2019-09-30
jackson-core,2.10.1,-,2020-01-01
jackson-core,2.3.0,+,2015-08-09
jackson-core,2.3.0,-,2018-05-27
jackson-core,2.9.5,-,2019-09-30
jackson-core,2.3.0,-,2018-05-24
jackson-core,2.10.3,-,2020-05-21
jackson-core,2.10.0,-,2019-10-31
hibernate-core,3.6.10.Final,+,2015-08-26
hibernate-core,3.6.10.Final,-,2015-08-26
hibernate-core,3.6.10.Final,-,2016-05-04
hibernate-core,3.6.10.Final,+,2015-08-09
commons-lang,2.3,+,2010-10-05
commons-lang,2.3,-,2010-10-05
commons-lang,2.3,-,2016-04-21
jasypt-spring31,1.9.2,+,2016-08-09
tomcat-jdbc,8.5.47,+,2019-11-21
tomcat-jdbc,8.5.55,+,2020-04-10
tomcat-jdbc,8.5.47,-,2019-11-10
tomcat-jdbc,8.5.49,+,2019-11-10
tomcat-jdbc,8.5.47,-,2019-11-29
tomcat-jdbc,8.5.49,+,2019-11-29
tomcat-jdbc,8.5.47,+,2019-10-08
tomcat-jdbc,8.5.49,-,2020-03-13
tomcat-jdbc,8.5.54,+,2020-03-13
tomcat-jdbc,8.5.54,-,2020-04-10
tomcat-jdbc,8.5.49,-,2019-11-21
tomcat-jdbc,8.5.4,-,2019-10-08
tomcat-jdbc,8.5.4,+,2016-08-05
slf4j-api,1.7.10,-,2016-04-19
slf4j-api,1.7.10,+,2015-08-26
slf4j-api,1.7.10,-,2015-08-26
slf4j-api,1.7.10,+,2015-08-09
slf4j-api,1.7.21,-,2016-04-21
jstl,1.1.2,-,2019-10-11
jstl,1.1.2,+,2010-10-05
jstl,1.1.2,-,2010-10-05
mockito-all,1.10.19,-,2019-09-11
mockito-all,1.9.0,-,2012-08-14
mockito-all,1.9.0,+,2012-08-12
mockito-all,1.9.0,-,2019-09-30
mockito-all,1.9.0,+,2012-09-06
mockito-all,1.9.0,-,2019-09-11
jcl-over-slf4j,1.7.21,+,2016-04-20
jcl-over-slf4j,1.7.21,-,2016-04-21
antisamy,1.5.2,+,2013-06-06
antisamy,1.4,+,2010-04-16
antisamy,1.5.2,-,2016-04-21
antisamy,1.4,-,2013-06-06
antisamy,1.5.3,+,2016-04-21
antisamy,1.4,+,2010-10-05
antisamy,1.4,-,2010-10-05
antisamy,1.1.1,-,2010-04-16
taglibs-standard-impl,1.2.5,-,2018-05-27
taglibs-standard-impl,1.2.5,+,2018-05-27
taglibs-standard-impl,1.2.5,+,2018-07-25
cernunnos,1.2.1,+,2010-10-05
cernunnos,1.2.1,-,2015-02-04
cernunnos,1.1.0,-,2010-10-05
cernunnos,1.1.0,+,2010-03-18
cernunnos,1.3.0,-,2018-05-14
resource-server-utils,1.0.0-RC1,-,2009-09-25
resource-server-utils,1.0.0-RC1,+,2008-08-07
resource-server-utils,1.0.4,-,2010-09-04
xalan,2.7.1,-,2019-09-12
xalan,2.7.1,+,2018-08-29
portlet-api,1.0,-,2011-05-16
portlet-api,1.0,-,2010-10-05
portlet-api,1.0,+,2010-10-05
mockito-core,1.8.5,-,2012-09-06
mockito-core,1.8.5,+,2012-09-22
mockito-core,3.3.1,-,2020-03-07
mockito-core,3.1.0,-,2019-11-21
mockito-core,1.8.5,+,2012-08-14
mockito-core,3.2.0,-,2019-12-05
mockito-core,1.8.5,-,2019-09-11
mockito-core,3.2.4,-,2020-03-07
mockito-core,1.8.5,-,2019-09-30
mockito-core,1.8.5,+,2012-09-17
mockito-core,1.10.19,-,2019-10-02
mockito-core,1.10.19,-,2019-09-12
mockito-core,1.8.5,-,2012-09-21
httpclient,4.5.5,-,2019-09-16
httpclient,4.5.10,+,2019-09-16
httpclient,4.5.5,-,2019-09-11
httpclient,4.4,-,2018-05-27
httpclient,4.5.5,-,2018-05-27
httpclient,4.5.10,-,2020-03-06
httpclient,4.5.12,+,2020-03-06
httpclient,4.5.10,+,2019-09-11
httpclient,4.2.5,-,2015-02-03
httpclient,4.5.10,-,2019-09-11
httpclient,4.4,+,2018-05-27
httpclient,4.5.5,+,2019-09-11
httpclient,4.5.5,+,2018-05-27
httpclient,4.4,+,2015-02-03
httpclient,4.2.5,+,2013-06-06
javassist,3.12.1.GA,+,2015-08-09
javassist,3.12.1.GA,-,2015-08-26
javassist,3.12.1.GA,+,2015-08-26
