library,version,sign,date
standard,1.1.2,+,2015-03-02
standard,1.1.2,-,2016-06-20
standard,1.1.2,+,2009-09-25
standard,1.1.2,-,2008-02-18
standard,1.1.2,+,2008-02-23
standard,1.1.2,-,2009-09-25
spring-beans,2.5.6,-,2010-11-15
spring-beans,2.5.6.SEC02,-,2014-09-04
spring-beans,2.5.6,+,2009-09-25
spring-test,2.5.6,-,2010-11-15
spring-test,2.5.1,+,2008-02-11
spring-test,2.5.1,-,2009-09-22
spring-test,2.5.6.SEC02,-,2014-09-04
spring-test,2.5.6,+,2009-09-25
junit,4.0,-,2008-02-11
junit,4.8.2,+,2015-03-02
junit,4.4,+,2009-09-25
junit,4.4,-,2010-11-15
junit,4.4,-,2009-09-25
junit,4.8.2,-,2015-08-22
junit,4.8.2,-,2016-06-20
jsp-api,2.1,+,2015-03-02
jsp-api,2.1,-,2016-06-20
jsp-api,2.1,+,2010-11-12
json-lib-ext-spring,1.0.2,+,2015-03-02
json-lib-ext-spring,1.0,-,2009-09-25
json-lib-ext-spring,1.0.2,-,2016-06-20
json-lib-ext-spring,1.0.2,+,2009-09-25
json-lib-ext-spring,1.0,+,2009-09-22
commons-io,2.0,+,2015-03-02
commons-io,1.4,-,2010-11-15
commons-io,1.4,+,2009-09-25
commons-io,2.0,-,2016-06-20
dom4j,1.6.1,+,2009-09-25
dom4j,1.6,-,2009-09-25
dom4j,1.6.1,+,2015-03-02
dom4j,1.6.1,-,2016-06-20
dom4j,1.6,+,2008-02-11
spring-context,2.5.6,-,2010-11-15
spring-context,2.5.6.SEC02,-,2014-09-04
spring-context,2.5.6,+,2009-09-25
ehcache-spring-annotations,1.1.2,+,2015-03-02
ehcache-spring-annotations,1.1.2,-,2016-06-20
ehcache-spring-annotations,1.1.2,+,2010-11-15
jstl,1.1.2,+,2015-03-02
jstl,1.1.2,-,2016-06-20
jstl,1.1.2,+,2009-09-25
jstl,1.1.2,-,2008-02-18
jstl,1.1.2,+,2008-02-23
jstl,1.1.2,-,2009-09-25
spring-core,2.5.6,-,2010-11-15
spring-core,2.5.6.SEC02,-,2014-09-04
spring-core,2.5.6,+,2009-09-25
groovy-all,1.6.4,+,2010-03-05
groovy-all,1.6.4,-,2016-06-20
groovy-all,1.6.4,+,2015-03-02
spring-tx,2.5.6,-,2010-11-15
spring-tx,2.5.6.SEC02,-,2014-09-04
spring-tx,2.5.6,+,2009-09-25
resource-server-utils,1.0.4,+,2009-09-25
resource-server-utils,1.0.4,-,2009-09-25
resource-server-utils,1.0.4,+,2008-11-11
resource-server-utils,1.0.5,-,2010-11-15
resource-server-utils,1.0.13,-,2012-02-03
resource-server-utils,1.0.41,-,2014-08-11
resource-server-utils,1.0.28,-,2013-08-29
resource-server-utils,1.0.4,-,2009-10-21
spring-webmvc-portlet,2.5.6,-,2010-11-15
spring-webmvc-portlet,2.5.1,-,2009-09-22
spring-webmvc-portlet,2.5.6.SEC02,-,2014-09-04
spring-webmvc-portlet,2.5.6,+,2009-09-25
resource-server-content,1.0.4,+,2009-09-25
resource-server-content,1.0.5,-,2010-11-15
resource-server-content,1.0.13,-,2012-02-03
resource-server-content,1.0.41,-,2014-08-11
resource-server-content,1.0.28,-,2013-08-29
resource-server-content,1.0.4,-,2009-10-21
xstream,1.2.2,+,2008-02-18
xstream,1.3.1,+,2015-03-02
xstream,1.2.2,-,2008-02-25
xstream,1.3,-,2009-09-25
xstream,1.3.1,-,2016-06-20
xstream,1.3.1,+,2009-09-25
spring-aop,2.5.6,-,2010-11-15
spring-aop,2.5.6.SEC02,-,2014-09-04
spring-aop,2.5.6,+,2009-09-25
AjaxPortletSupport,1.0.4,-,2009-09-25
AjaxPortletSupport,1.0.9,-,2016-06-20
AjaxPortletSupport,1.0.9,+,2015-03-02
AjaxPortletSupport,1.0.5,+,2009-09-25
AjaxPortletSupport,1.0.4,+,2009-09-22
AjaxPortletSupport,1.0.5,-,2010-11-15
portlet-api,1.0,+,2015-03-02
portlet-api,1.0,-,2009-09-25
portlet-api,1.0,-,2015-08-22
portlet-api,1.0,-,2016-06-20
portlet-api,1.0,-,2008-02-23
portlet-api,1.0,+,2009-09-25
portlet-api,1.0,+,2008-02-23
httpclient,4.5,+,2015-08-22
pluto-taglib,1.1.7,-,2014-08-08
pluto-taglib,1.1.7,+,2009-10-26
servlet-api,2.4,+,2015-03-02
servlet-api,2.4,+,2008-03-02
servlet-api,2.4,-,2009-09-25
servlet-api,2.4,-,2016-06-20
servlet-api,2.4,+,2009-09-25
