library,version,sign,date
guava-gwt,13.0.1,-,2013-05-27
guava-gwt,13.0.1,+,2013-09-25
guava-gwt,13.0.1,+,2013-05-11
guava-gwt,14.0.1,-,2013-12-14
guava-gwt,13.0.1,-,2013-12-10
test,1.0-SNAPSHOT,-,2013-05-27
test,1.0-SNAPSHOT,+,2013-05-11
test,1.0-SNAPSHOT,-,2014-02-04
test,1.0.0,-,2014-04-30
test,1.1-SNAPSHOT,+,2014-05-19
test,1.0-SNAPSHOT,-,2013-09-25
test,1.1-SNAPSHOT,+,2015-06-11
test,1.0-SNAPSHOT,+,2013-05-27
test,1.0.1-SNAPSHOT,-,2014-04-30
jsr305,1.3.9,+,2015-01-22
jsr305,2.0.1,+,2015-12-30
jsr305,1.3.9,+,2015-06-11
jsr305,1.3.9,-,2015-06-11
jsr305,1.3.9,-,2013-05-27
jsr305,2.0.1,-,2016-05-19
jsr305,1.3.9,+,2013-04-15
geometry,1.0-SNAPSHOT,-,2014-02-04
geometry,1.0.0,-,2014-04-30
geometry,1.0-SNAPSHOT,+,2013-12-11
geometry,1.0-SNAPSHOT,+,2013-05-27
geometry,1.0.1-SNAPSHOT,-,2014-04-30
base,1.0-SNAPSHOT,+,2013-05-11
base,1.1-SNAPSHOT,+,2016-05-19
base,1.0-SNAPSHOT,-,2014-02-04
base,1.0.0,-,2014-04-30
base,1.0-SNAPSHOT,+,2013-10-09
base,1.1-SNAPSHOT,+,2014-05-19
base,1.0.1-SNAPSHOT,-,2014-04-30
