library,version,sign,date
junit,4.8.1,+,2012-03-20
junit,4.8.1,-,2012-07-08
junit,4.8.1,+,2012-07-08
junit,4.8.1,+,2012-06-08
junit,4.8.1,-,2012-06-08
appengine-api-1.0-sdk,1.6.5,+,2012-07-08
appengine-api-1.0-sdk,1.6.5,+,2012-06-08
appengine-api-1.0-sdk,1.6.5,-,2012-07-08
appengine-api-1.0-sdk,1.6.5,-,2012-06-08
appengine-api-1.0-sdk,1.6.3.1,+,2012-03-20
appengine-api-1.0-sdk,1.6.3.1,-,2012-06-07
json,20090211,+,2012-06-08
json,20090211,-,2012-03-20
json,20090211,-,2012-07-08
json,20090211,+,2012-03-20
json,20090211,-,2012-06-08
json,20090211,+,2012-07-08
guava,10.0.1,-,2012-07-08
guava,10.0.1,+,2012-07-31
guava,10.0.1,+,2012-06-08
servlet-api,2.5,-,2012-06-08
servlet-api,2.5,+,2012-06-07
servlet-api,2.5,+,2012-07-08
servlet-api,2.5,+,2012-06-08
servlet-api,2.5,-,2012-07-08
