library,version,sign,date
tagapi-v1_6_R1,v1_6_R1,+,2013-07-02
tagapi-v1_7_R2,v1_7_R2,+,2014-02-10
tagapi-v1_7_R1,v1_7_R1,+,2013-12-01
bukkit,1.5.1-R0.2,-,2013-04-06
bukkit,1.5.2-R1.0,-,2013-12-01
bukkit,1.5.2-R1.0,-,2013-08-30
bukkit,LATEST,-,2013-03-21
bukkit,1.6.2-R0.1,-,2014-02-10
bukkit,LATEST,-,2013-04-06
tagapi-api,API,+,2014-02-10
tagapi-api,API,+,2013-07-02
tagapi-api,API,+,2012-12-27
tagapi-api,API,+,2012-12-16
tagapi-api,API,+,2014-06-25
tagapi-api,API,+,2014-03-25
tagapi-api,API,+,2013-08-30
tagapi-api,API,+,2013-07-09
tagapi-api,API,+,2013-03-15
tagapi-api,API,+,2013-02-24
tagapi-api,API,+,2013-03-21
tagapi-api,API,+,2013-12-01
tagapi-v1_4_6,v1_4_6,+,2012-12-16
tagapi-v1_5_R3,v1_5_R3,+,2013-03-21
tagapi-v1_5_R2,v1_5_R2,+,2013-03-15
tagapi-v1_6_R3,v1_6_R3,+,2013-08-30
tagapi-v1_7_R4,v1_7_R4,+,2014-06-25
ProtocolLib,1.5.1,+,2012-12-06
ProtocolLib,1.5.1,-,2012-12-06
tagapi-v1_4_R1,v1_4_R1,+,2012-12-27
tagapi-v1_5_R1,v1_5_R1,+,2013-03-15
tagapi-v1_6_R2,v1_6_R2,+,2013-07-09
tagapi-v1_7_R3,v1_7_R3,+,2014-03-25
