library,version,sign,date
jain-sip-api,1.2,+,2009-12-02
jain-sip-api,1.2.1-SNAPSHOT,-,2012-03-30
jain-sip-api,1.2,+,2007-10-22
jain-sip-api,1.2,+,2007-10-23
jain-sip-api,1.2,-,2009-12-02
jain-sip-api,1.2.0,-,2012-03-30
jain-sip-api,1.2.1,-,2008-03-11
jain-sip-api,1.2,-,2008-03-07
jain-sip-api,1.2,-,2007-10-23
jain-sip-api,1.2,+,2008-07-31
jain-sip-api,1.2,+,2007-11-05
jain-sip-api,1.2,-,2012-03-30
jain-sip-api,1.2,-,2007-11-05
jain-sip-api,1.2,+,2009-09-22
log4j,1.2.8,-,2007-11-05
log4j,1.2.14,-,2015-06-23
log4j,1.2.8,-,2008-05-21
log4j,1.2.14,+,2017-02-01
log4j,1.2.8,-,2009-10-17
log4j,1.2.8,-,2008-07-31
log4j,1.2.8,+,2007-11-05
log4j,1.2.14,+,2014-06-15
log4j,1.2.8,+,2007-10-23
log4j,1.2.14,-,2009-12-02
log4j,1.2.14,+,2009-12-02
log4j,1.2.8,+,2008-07-31
log4j,1.2.8,-,2007-10-22
log4j,1.2.8,+,2008-05-21
