library,version,sign,date
jersey-servlet,1.17,-,2014-01-07
hbase-sep-api,1.4-SNAPSHOT,-,2014-01-07
hbase-sep-api,1.2-SNAPSHOT,-,2013-08-10
hbase-sep-api,1.5,-,2014-05-07
hbase-sep-api,1.4,-,2014-01-07
hbase-sep-api,1.6-SNAPSHOT,-,2014-05-07
hbase-sep-api,1.4-SNAPSHOT,-,2013-12-13
hbase-sep-api,1.4-SNAPSHOT,-,2013-11-01
hbase-sep-api,1.6-SNAPSHOT,-,2014-07-03
hbase-sep-api,1.3-SNAPSHOT,-,2013-10-23
hbase-sep-api,1.4-ngdata-dev-SNAPSHOT,-,2013-12-10
hbase-sep-api,1.2-SNAPSHOT,+,2013-08-21
hbase-sep-api,1.5-SNAPSHOT,-,2014-01-07
hbase-sep-api,1.3,-,2013-11-01
hbase-sep-api,1.5,+,2014-01-07
hbase-sep-api,1.6-r20140703,-,2014-07-03
hbase-sep-api,1.6-SNAPSHOT,-,2014-05-16
hbase-sep-api,1.5.1,-,2014-05-16
mockito-core,1.9.0,+,2013-11-01
mockito-core,1.9.5,-,2013-08-21
mockito-core,1.9.5,+,2013-07-16
