library,version,sign,date
appframework-api,[2.0,),-,2015-12-10
appframework-api,[2.0,),+,2015-05-25
appframework-api,2.0,+,2015-05-21
jasperreport-api,1.5.6,-,2016-04-11
jasperreport-api,1.5.3,-,2013-03-07
jasperreport-api,1.5.3,+,2013-02-01
jasperreport-api,[1.5.4,),-,2014-09-23
jasperreport-api,[1.5.4,),-,2013-03-01
jasperreport-api,1.5.7,-,2017-11-08
jasperreport-api,[1.5.4,),+,2014-01-06
jasperreport-api,1.5.3,-,2013-02-08
jasperreport-api,2.0.0,-,2018-06-18
jasperreport-api,[1.5.5,),-,2015-12-10
jasperreport-api,[1.5.4,),-,2014-07-04
webservices.rest-omod,1.1,-,2013-05-15
webservices.rest-omod,1.0,+,2012-08-30
webservices.rest-omod,2.4,-,2014-09-23
webservices.rest-omod,1.1,-,2013-05-08
webservices.rest-omod,1.1,-,2013-11-05
webservices.rest-omod,2.0,-,2013-04-16
webservices.rest-omod,1.0,-,2012-09-19
webservices.rest-omod,1.1,-,2013-12-04
webservices.rest-omod,1.1,-,2013-03-19
webservices.rest-omod,1.1,-,2014-01-06
webservices.rest-omod,2.0,-,2013-06-04
webservices.rest-omod,2.0,-,2013-04-01
webservices.rest-omod,2.8,-,2015-07-23
webservices.rest-omod,[2.6,),-,2015-05-21
webservices.rest-omod,2.0,-,2013-11-26
webservices.rest-omod,2.0,+,2014-01-06
webservices.rest-omod,2.0,-,2014-07-04
webservices.rest-omod,2.0,-,2014-01-06
providermanagement-api,[2.0,),-,2015-12-10
providermanagement-api,2.0,+,2015-05-21
providermanagement-api,2.0,-,2015-05-25
openhmis.inventory-omod,1.0.0,-,2014-09-23
openhmis.inventory-omod,1.1.0,-,2014-11-04
openhmis.inventory-omod,1.0.0-icchange,-,2014-01-06
openhmis.inventory-omod,2.5.0-SNAPSHOT,-,2017-11-08
openhmis.inventory-omod,1.2.0,-,2014-11-25
openhmis.inventory-omod,1.0.0-icchange,+,2014-01-06
openhmis.inventory-omod,1.5.0,-,2015-03-18
openhmis.inventory-omod,1.0.0-SNAPSHOT,-,2013-12-24
openhmis.inventory-omod,1.0.0-SNAPSHOT,+,2013-06-03
openhmis.inventory-omod,2.2.0-SNAPSHOT,-,2015-12-10
openhmis.inventory-omod,2.3.0,-,2016-08-19
openhmis.inventory-omod,1.0.0-icchange,-,2013-12-25
openhmis.inventory-omod,2.2.1,-,2016-04-11
openhmis.inventory-omod,1.0.0-SNAPSHOT,+,2013-12-04
openhmis.inventory-omod,2.3.0-SNAPSHOT,-,2016-04-11
openhmis.inventory-omod,1.0.0-icchange,-,2014-07-04
openhmis.inventory-omod,3.0.0,-,2018-06-18
openhmis.inventory-omod,1.0.0-SNAPSHOT,-,2014-01-06
openhmis.inventory-omod,2.4.0,-,2017-10-31
openhmis.inventory-omod,1.0.0-SNAPSHOT,-,2013-06-04
openhmis.inventory-omod,1.7.0-SNAPSHOT,-,2015-05-25
openhmis.inventory-omod,2.0.0,-,2015-07-23
openhmis.inventory-omod,1.7.0,-,2015-07-23
openhmis.inventory-omod,1.0.0-SNAPSHOT,-,2014-07-04
openhmis.inventory-omod,2.1.0-SNAPSHOT,-,2015-09-15
openhmis.inventory-omod,1.0.0-SNAPSHOT,-,2013-11-26
openhmis.inventory-omod,1.6.0-SNAPSHOT,-,2015-03-18
openhmis.inventory-omod,1.0.0-SNAPSHOT,+,2013-11-05
openhmis.inventory-omod,1.8.0-SNAPSHOT,-,2015-07-23
openhmis.inventory-omod,2.4.0-SNAPSHOT,-,2017-07-05
openhmis.inventory-omod,2.1.0,-,2015-12-10
uiframework-api,[2.0,),-,2015-12-10
uiframework-api,2.0,+,2015-05-21
uiframework-api,2.0,-,2015-05-25
openhmis.backboneforms-omod,2.4.0-SNAPSHOT,-,2015-05-25
openhmis.backboneforms-omod,1.0.1 ,-,2014-01-06
openhmis.backboneforms-omod,1.0.1,-,2014-01-06
openhmis.backboneforms-omod,2.0.0-SNAPSHOT,-,2013-11-26
openhmis.backboneforms-omod,2.4.0,-,2016-08-19
openhmis.backboneforms-omod,1.0.1,-,2013-11-05
openhmis.backboneforms-omod,1.5.0-SNAPSHOT,-,2013-04-16
openhmis.backboneforms-omod,2.0.0-icchange,+,2014-01-06
openhmis.backboneforms-omod,2.4.0,-,2015-12-10
openhmis.backboneforms-omod,2.0.0,-,2014-09-23
openhmis.backboneforms-omod,1.0.1 ,-,2013-11-05
openhmis.backboneforms-omod,1.0-SNAPSHOT,-,2013-04-16
openhmis.backboneforms-omod,2.0.0-SNAPSHOT,+,2013-11-05
openhmis.backboneforms-omod,2.4.0-SNAPSHOT,-,2015-07-23
openhmis.backboneforms-omod,2.5.0-SNAPSHOT,-,2015-12-10
openhmis.backboneforms-omod,2.2.0,-,2014-11-25
openhmis.backboneforms-omod,2.1.0,-,2014-11-04
openhmis.backboneforms-omod,3.0.0,-,2018-06-18
openhmis.backboneforms-omod,2.4.0,-,2017-10-31
openhmis.backboneforms-omod,1.0.1 ,+,2014-01-06
openhmis.backboneforms-omod,1.0.0,-,2013-05-08
openhmis.backboneforms-omod,2.0.0-SNAPSHOT,-,2014-07-04
openhmis.backboneforms-omod,1.0.1,+,2013-11-26
openhmis.backboneforms-omod,1.0-SNAPSHOT,-,2013-04-01
openhmis.backboneforms-omod,1.0.0,+,2013-06-04
openhmis.backboneforms-omod,2.5.0-SNAPSHOT,-,2017-11-08
openhmis.backboneforms-omod,2.4.0,-,2016-04-11
openhmis.backboneforms-omod,2.0.0-icchange,-,2014-01-06
openhmis.backboneforms-omod,1.0.1 ,-,2013-12-04
openhmis.backboneforms-omod,1.0.0,-,2013-05-15
openhmis.backboneforms-omod,1.0-SNAPSHOT,+,2013-03-07
openhmis.backboneforms-omod,2.0.0-SNAPSHOT,-,2013-12-24
openhmis.backboneforms-omod,2.0.0-SNAPSHOT,+,2013-05-15
