library,version,sign,date
monolog-api,2.1.10,+,2012-02-14
monolog-api,2.1.10,+,2011-08-26
dsb-kernel-pubsubservice,1.0-SNAPSHOT,-,2011-08-26
monolog,2.1.10,+,2012-02-14
monolog,2.1.10,+,2011-08-26
monolog,1.8,+,2012-02-14
monolog,1.8,-,2011-08-26
monolog,1.8,-,2012-02-14
monolog,1.8,+,2011-08-26
junit,3.8.1,+,2011-10-04
junit,3.8.1,-,2011-08-26
junit,3.8.1,-,2012-05-03
junit,3.8.1,-,2012-02-14
junit,3.8.1,+,2011-08-26
junit,3.8.1,+,2012-02-14
junit,3.8.1,+,2012-05-03
dsb-kernel,1.0-SNAPSHOT,+,2012-02-14
dsb-kernel,1.0-SNAPSHOT,-,2012-05-03
dsb-kernel,1.0-SNAPSHOT,-,2012-02-14
fractal-spoonlet,2.0.2,-,2012-02-14
fractal-spoonlet,3.2,-,2012-02-14
fractal-spoonlet,3.0,-,2012-02-14
fractal-spoonlet,2.0.2,+,2012-02-14
fractal-spoonlet,2.0.2,+,2011-08-26
fractal-spoonlet,3.1-SNAPSHOT,-,2012-02-14
