library,version,sign,date
PermissionsEx,1.22.6,+,2014-09-10
PermissionsEx,1.18,+,2013-11-09
PermissionsEx,1.18,-,2013-11-09
PermissionsEx,1.18,-,2014-04-28
PermissionsEx,1.17,-,2011-12-31
PermissionsEx,1.14,-,2011-12-09
SimpleClans2,1.0.2,+,2013-11-04
SimpleClans2,1.0.2,+,2013-11-09
SimpleClans2,1.0.2,-,2013-11-09
SimpleClansChat,1.0.2,-,2014-03-31
SimpleClansChat,1.0.2,+,2013-11-04
SimpleClansChat,1.0.2,+,2013-11-09
SimpleClansChat,1.0.2,-,2013-11-09
SimpleClansChat,1.0.2,+,2014-04-09
bukkit,1.2.5-R1.0,-,2012-05-04
bukkit,1.3.1-R0.1-SNAPSHOT,-,2012-08-09
bukkit,1.5.1-R0.2,-,2013-07-16
bukkit,1.3.1-R2.0,-,2012-09-28
bukkit,1.1-R6,-,2012-03-01
bukkit,1.2.5-R4.0,-,2012-07-29
bukkit,1.18,+,2012-01-27
bukkit,1.5.2-R0.1,-,2013-07-26
bukkit,1.1-R4,-,2012-02-23
bukkit,1.6.2-R1.0,-,2013-09-19
bukkit,1.6.2-R0.1,-,2013-08-30
bukkit,1.2.3-R0.3-SNAPSHOT,-,2012-03-23
bukkit,1.2.3-R0.2-SNAPSHOT,-,2012-03-09
bukkit,1.2.5-R0.2-SNAPSHOT,-,2012-04-09
bukkit,1.6.4-R2.0,+,2013-11-09
bukkit,1.6.4-R0.1-SNAPSHOT,-,2013-10-31
bukkit,1.1-R3,-,2012-02-15
bukkit,1.0.0-SNAPSHOT,-,2011-12-11
bukkit,1.1-R1,+,2012-01-27
bukkit,1.7.5-R0.1-SNAPSHOT,-,2014-04-12
bukkit,1.7.9-R0.1-SNAPSHOT,-,2014-04-28
bukkit,1.1-R1-SNAPSHOT,-,2012-01-25
bukkit,1.2.4-R0.1-SNAPSHOT,-,2012-03-28
bukkit,1.1-R5-SNAPSHOT,-,2012-02-29
bukkit,1.18,-,2012-01-27
bukkit,1.18,+,2011-12-31
bukkit,1.6.4-R2.0,-,2013-11-09
bukkit,1.3.1-R1.0,-,2012-08-25
bukkit,1.2.5-R3.0,-,2012-06-08
bukkit,1.7.2-R0.3,-,2014-04-09
bukkit,1.4.5-R1.0,-,2013-01-27
bukkit,1.2.4-R1.1-SNAPSHOT,-,2012-04-03
bukkit,1.1-R4,-,2012-03-01
bukkit,1.7.9-R0.2,-,2014-09-10
bukkit,1.1-R1,-,2012-01-27
bukkit,1.4.7-R1.0,-,2013-03-20
bukkit,0.0.1-SNAPSHOT,-,2011-11-21
bukkit,1.3.2-R3.0,-,2012-11-14
bukkit,1.0.1-R1,-,2012-01-22
bukkit,1.7.9-R0.1,-,2014-06-22
bukkit,1.6.4-R2.0,-,2013-12-22
bukkit,1.5.1-R0.1,-,2013-04-16
bukkit,1.2.2-R0.1-SNAPSHOT,-,2012-03-03
bukkit,1.1-R1,-,2012-02-11
bukkit,1.2.5-R1.3,-,2012-05-10
Towny,0.83.0.0,+,2013-11-09
Towny,0.80.0.0,+,2012-04-28
Towny,0.83.0.0,-,2013-11-09
Towny,0.80.0.0,-,2013-04-29
VaultAPI,1.3.01,-,2014-05-15
VaultAPI,1.3.01,+,2014-04-28
Heroes,1.4.3-b1124,-,2012-03-14
Heroes,1.4.3-b1124,+,2012-01-27
Heroes,1.5.3.3,+,2013-11-09
Heroes,1.5.3-dev-b000,-,2013-09-25
Heroes,1.3.0-b752,-,2012-01-27
Heroes,1.4.7-b1330,-,2013-08-08
Heroes,1.5.3.3,-,2013-11-09
GeoIPTools,1.0,+,2013-01-23
GeoIPTools,1.0.1,+,2013-11-09
GeoIPTools,1.0,-,2013-01-27
GeoIPTools,1.0.1,-,2013-11-09
