library,version,sign,date
junit,4.8.2,+,2012-06-06
junit,4.8.2,-,2012-06-06
sola-messaging,1.1-SNAPSHOT,+,2012-06-06
sola-messaging,1.0-SNAPSHOT,-,2012-03-21
sola-messaging,1.1-SNAPSHOT,-,2012-07-19
sola-messaging,1.1-SNAPSHOT,-,2012-06-06
sola-messaging,1.0,-,2012-04-01
sola-messaging,1.1-SNAPSHOT,-,2012-04-01
webservices-rt,2.2,-,2015-08-25
webservices-rt,2.2,+,2012-06-06
webservices-rt,2.1,-,2012-06-06
sola-common,1.1-SNAPSHOT,+,2012-06-06
sola-common,1.1-SNAPSHOT,-,2012-07-19
sola-common,1.1-SNAPSHOT,-,2012-06-06
sola-common,1.1-SNAPSHOT,+,2012-04-01
sola-transfer-objects,2.1-20131104,-,2013-11-04
sola-transfer-objects,2.2-20140815,-,2014-08-29
sola-transfer-objects,1.0,-,2012-04-01
sola-transfer-objects,2.1-20140220,-,2014-02-20
sola-transfer-objects,2.1-20131014,-,2013-10-14
sola-transfer-objects,2.1-20140812,-,2014-08-12
sola-transfer-objects,2.1-20131017,-,2013-10-17
sola-transfer-objects,2.0-20130827,-,2013-08-28
sola-transfer-objects,2.0-20130815,-,2013-08-14
sola-transfer-objects,2.1-20140323,-,2014-03-24
sola-transfer-objects,1.0-SNAPSHOT,-,2012-03-21
sola-transfer-objects,2.1-20140715,-,2014-07-15
sola-transfer-objects,2.1-20131008,-,2013-10-08
sola-transfer-objects,2.0-20130812,-,2013-08-13
sola-transfer-objects,2.0-20130820,-,2013-08-20
sola-transfer-objects,2.0-20130830,-,2013-08-29
sola-transfer-objects,2.1-20131118,-,2013-11-18
sola-transfer-objects,2.0-20130821,-,2013-08-21
sola-transfer-objects,1.1-SNAPSHOT,-,2012-07-19
sola-transfer-objects,2.0-20130907,-,2013-09-07
sola-transfer-objects,1.1-SNAPSHOT,-,2012-06-06
sola-transfer-objects,1.2-SNAPSHOT,-,2013-08-09
sola-transfer-objects,1.0-SNAPSHOT,-,2012-02-17
sola-transfer-objects,2.1-20131220,-,2013-12-20
sola-transfer-objects,2.2-20141105,-,2014-11-05
sola-transfer-objects,2.1-20140113,-,2014-01-13
sola-transfer-objects,2.2-20140829,-,2014-08-29
sola-transfer-objects,alpha,-,2012-01-09
sola-transfer-objects,2.1-20131105,-,2013-11-11
sola-transfer-objects,2.0-20130823,-,2013-08-23
sola-transfer-objects,1.2-SNAPSHOT,+,2013-03-05
sola-transfer-objects,2.2-20150825,-,2015-08-25
sola-transfer-objects,2.0-20130819,-,2013-08-19
sola-transfer-objects,2.2-20151104,-,2016-03-03
sola-transfer-objects,2.2-20160518,-,2016-05-18
sola-transfer-objects,2.2-20141017,-,2014-10-17
sola-transfer-objects,2.1-20140217,-,2014-02-17
sola-transfer-objects,2.1-20140327,-,2014-03-27
sola-transfer-objects,1.1-SNAPSHOT,-,2012-04-01
sola-transfer-objects,1.1.120915,-,2012-09-15
sola-transfer-objects,2.2-20160306,-,2016-03-06
sola-transfer-objects,1.0-SNAPSHOT,+,2012-01-09
sola-transfer-objects,2.0-20130919,-,2013-09-19
bcprov-jdk15on,1.49,+,2013-08-10
