library,version,sign,date
cascading-local,2.0.4,+,2011-12-01
cascading-local,2.0.4,-,2012-09-13
slf4j-log4j12,1.6.1,+,2013-04-12
slf4j-log4j12,1.6.1,-,2013-06-09
mina-core,2.0.0-M5,+,2012-09-24
mina-core,2.0.0-M5,+,2012-11-02
mina-core,2.0.0-M5,-,2012-10-05
commons-httpclient,3.1,-,2012-10-05
commons-httpclient,3.1,+,2012-09-24
commons-httpclient,3.1,+,2012-11-02
ant,1.8.4,-,2013-08-31
ant,1.8.4,+,2012-11-02
ant,1.8.4,+,2013-08-31
commons-io,1.4,-,2012-09-24
commons-io,2.1,-,2012-10-05
commons-io,1.4,-,2012-11-02
commons-lang,2.4,-,2012-09-24
commons-lang,2.4,-,2012-11-02
commons-lang,2.6,-,2012-10-05
args4j,2.0.10,-,2011-04-01
kryo,2.19,+,2011-12-01
kryo,2.19,+,2012-11-02
kryo,2.19,-,2012-09-13
kryo,2.19,+,2012-09-13
kryo,2.19,-,2012-10-05
slf4j-api,1.7.2,+,2013-07-23
ftpserver-core,1.0.0,-,2012-10-05
ftpserver-core,1.0.0,+,2012-09-24
ftpserver-core,1.0.0,+,2012-11-02
commons-codec,1.4,+,2012-11-02
commons-codec,1.4,-,2012-10-05
commons-codec,1.4,+,2012-09-24
cascading-core,1.2.1,-,2012-09-13
cascading-core,1.2.1,-,2012-11-02
cascading-core,1.2.1,-,2011-12-01
cascading-core,2.0.4,-,2012-09-13
commons-logging,1.1.1,+,2012-11-02
commons-logging,1.1.1,+,2012-09-24
commons-logging,1.1.1,-,2012-10-05
ftplet-api,1.0.0,-,2012-10-05
ftplet-api,1.0.0,+,2012-09-24
ftplet-api,1.0.0,+,2012-11-02
