library,version,sign,date
slf4j-api,1.4.2,+,2009-06-24
slf4j-api,1.4.2,+,2009-06-14
domdrides-core,1.2,+,2009-06-14
domdrides-core,1.2,+,2009-06-24
commons-pool,1.5.1,+,2009-06-24
commons-pool,1.5.1,+,2009-06-19
junit,4.5,+,2009-06-14
junit,4.5,+,2009-06-24
slf4j-log4j12,1.4.2,+,2009-06-24
slf4j-log4j12,1.4.2,+,2009-06-14
tritonus-share,0.3.6,+,2009-06-14
tritonus-share,0.3.6,+,2009-06-24
hibernate-annotations,3.3.1.GA,+,2009-06-24
hibernate-annotations,3.3.1.GA,+,2009-06-14
persistence-api,1.0,+,2009-06-24
persistence-api,1.0,+,2009-06-14
tritonus-jorbis,0.3.6,+,2009-06-14
tritonus-jorbis,0.3.6,+,2009-06-24
domdrides-jpa,1.2,+,2009-06-14
domdrides-jpa,1.2,+,2009-06-24
jorbis,0.0.17,+,2009-06-14
jorbis,0.0.17,+,2009-06-24
log4j,1.2.12,+,2009-06-14
log4j,1.2.12,+,2009-06-24
