library,version,sign,date
ejb3-persistence,1.0.2.GA,+,2013-08-02
ejb3-persistence,1.0.2.GA,-,2013-05-10
ejb3-persistence,1.0.2.GA,-,2013-08-20
ejb3-persistence,1.0.2.GA,+,2013-05-23
ejb3-persistence,1.0.2.GA,+,2012-08-06
ejb3-persistence,1.0.2.GA,-,2013-06-10
easymock,3.1,-,2013-05-10
easymock,3.1,-,2013-08-20
easymock,3.1,+,2013-08-02
easymock,3.1,-,2013-06-10
easymock,3.1,+,2013-05-23
easymock,3.1,+,2012-08-06
kbaccess-api,2.1,-,2013-06-26
kbaccess-api,2.0-RC1,-,2013-06-10
kbaccess-api,2.0-RC1,-,2013-05-23
kbaccess-api,3,-,2013-09-10
kbaccess-api,2.0-SNAPSHOT,-,2013-05-10
kbaccess-api,1.1-SNAPSHOT,-,2012-08-06
kbaccess-api,2.2,-,2013-08-20
kbaccess-api,2.0-SNAPSHOT,+,2012-08-06
kbaccess-api,2.1-SNAPSHOT,-,2013-06-10
kbaccess-api,2.2-SNAPSHOT,-,2013-08-02
kbaccess-api,2.2-SNAPSHOT,+,2013-08-02
kbaccess-api,2.2-SNAPSHOT,-,2013-08-20
kbaccess-api,2.0-RC1,+,2013-05-23
junit,3.8.1,+,2013-06-10
junit,3.8.1,-,2013-05-23
junit,3.8.1,-,2013-08-20
junit,3.8.1,+,2013-05-23
junit,3.8.1,-,2013-06-10
junit,3.8.1,+,2013-08-02
junit,3.8.1,-,2013-08-02
junit,3.8.1,-,2013-05-10
junit,3.8.1,+,2012-08-06
slf4j-log4j12,1.5.0,+,2012-08-06
slf4j-log4j12,1.5.0,+,2013-05-23
slf4j-log4j12,1.5.0,-,2013-06-10
slf4j-log4j12,1.5.0,+,2013-08-02
slf4j-log4j12,1.5.0,-,2013-05-10
slf4j-log4j12,1.5.0,-,2013-08-20
commons-entity,1.0-SNAPSHOT,+,2012-08-06
commons-entity,1.5.2,-,2013-05-10
commons-entity,1.0-SNAPSHOT,-,2013-05-23
commons-entity,1.5.2,+,2012-08-06
commons-entity,1.5.2-RC1,-,2012-08-06
