library,version,sign,date
slf4j-api,1.6.4,+,2012-08-07
slf4j-api,1.6.4,-,2012-07-30
slf4j-api,1.6.1,-,2012-02-01
slf4j-api,1.6.4,-,2012-11-05
logback-classic,1.0.2,-,2012-07-30
logback-classic,0.9.28,-,2012-02-01
logback-classic,1.0.6,-,2012-07-30
logback-classic,1.0.6,+,2012-08-07
commons-codec,1.7,+,2012-10-10
truezip-driver-zip,7.7.1,+,2012-11-24
rocoto,6.1,+,2012-04-27
not-yet-commons-ssl,0.3.11,+,2012-04-27
jcommander,1.23,-,2012-07-30
ftp4j,1.7.2,+,2012-08-21
commons-io,2.4,+,2012-09-18
guice,3.0,+,2012-04-27
jersey-ahc-client,1.0.2,+,2012-04-27
jersey-ahc-client,1.0.2,-,2012-11-02
