library,version,sign,date
xercesImpl,2.8.1,+,2011-11-22
xercesImpl,2.8.1,+,2014-09-04
xercesImpl,2.8.1,-,2012-01-22
xercesImpl,2.8.1,-,2014-09-04
xercesImpl,2.8.1,+,2012-01-22
junit,4.8.1,-,2014-09-04
junit,4.8.1,+,2012-05-18
junit,4.8.1,+,2014-09-04
junit,3.8.1,-,2011-11-22
junit,4.8.1,-,2012-03-23
junit,4.8.1,-,2012-01-22
junit,4.8.1,+,2012-03-16
junit,4.8.1,-,2012-05-18
junit,4.8.1,+,2012-01-22
junit,4.8.1,+,2012-03-23
jena-arq,2.10.1,+,2014-09-04
jena-arq,2.10.1,+,2013-11-08
jena-arq,2.10.1,+,2013-07-02
jena-arq,2.10.1,-,2014-09-04
commons-cli,1.1,+,2012-01-22
commons-cli,1.1,-,2014-09-04
commons-cli,1.1,-,2012-01-22
commons-cli,1.1,+,2014-09-04
jackson-core-lgpl,1.9.12,+,2013-05-30
jackson-core-lgpl,1.9.12,-,2013-10-23
jackson-core-lgpl,1.9.12,+,2013-07-02
jena-core,2.10.1,+,2014-09-04
jena-core,2.10.1,+,2013-11-08
jena-core,2.10.1,+,2013-07-02
jena-core,2.10.1,-,2014-09-04
xalan,2.7.1,+,2011-11-22
xalan,2.7.1,+,2012-04-27
xalan,2.7.1,-,2014-09-04
xalan,2.7.1,+,2014-09-04
xalan,2.7.1,-,2012-01-22
xalan,2.4,+,2012-01-22
xalan,2.4,-,2012-04-27
import_layer,1.5,-,2013-05-30
import_layer,1.4,-,2012-01-22
import_layer,1.4,+,2011-11-22
import_layer,1.6.8,+,2014-09-04
import_layer,1.6,-,2013-07-04
import_layer,1.4.1,-,2012-05-18
import_layer,1.6,-,2014-09-04
import_layer,1.4,+,2012-01-22
import_layer,1.4,-,2012-04-11
import_layer,1.6,+,2013-07-04
isa2rdf-converter,1.0.1-SNAPSHOT,-,2013-12-06
isa2rdf-converter,1.0.1,-,2014-03-05
isa2rdf-converter,1.0.0,-,2013-12-06
isa2rdf-converter,0.0.8-SNAPSHOT,-,2013-10-24
isa2rdf-converter,0.0.6-SNAPSHOT,-,2013-07-05
isa2rdf-converter,0.0.5-SNAPSHOT,-,2013-07-02
isa2rdf-converter,1.0.0-SNAPSHOT,-,2013-11-22
isa2rdf-converter,0.0.4,-,2013-05-30
isa2rdf-converter,0.0.9-SNAPSHOT,-,2013-11-08
isa2rdf-converter,0.0.6,-,2013-07-12
isa2rdf-converter,0.0.7,-,2013-08-02
isa2rdf-converter,0.0.8,-,2013-11-08
isa2rdf-converter,0.0.1-SNAPSHOT,-,2012-03-23
isa2rdf-converter,1.0.2-SNAPSHOT,-,2014-03-16
isa2rdf-converter,0.0.4-SNAPSHOT,-,2013-01-17
isa2rdf-converter,1.0.2,-,2014-09-04
isa2rdf-converter,0.0.3-SNAPSHOT,-,2012-05-18
isa2rdf-converter,0.0.2-SNAPSHOT,-,2012-04-26
jackson-mapper-asl,1.9.12,+,2013-05-30
jackson-mapper-asl,1.9.12,-,2014-09-04
jackson-mapper-asl,1.9.12,+,2014-09-04
jackson-mapper-asl,1.9.12,-,2013-10-23
jackson-mapper-asl,1.9.12,+,2013-07-02
toxbank-api-beans,0.0.1-SNAPSHOT,-,2012-05-26
toxbank-api-beans,0.0.1-SNAPSHOT,+,2012-01-24
toxbank-api-beans,0.0.3,+,2014-09-04
toxbank-api-beans,0.0.3,-,2014-09-04
