library,version,sign,date
junit,4.8.2,-,2012-10-01
junit,4.8.2,+,2012-09-18
junit,4.8.2,+,2012-10-01
junit,4.8.2,-,2012-09-18
craftbukkit,1.3.1-R2.0,+,2012-10-01
craftbukkit,1.3.1-R2.0,+,2012-09-18
craftbukkit,1.3.1-R2.0,-,2012-09-18
craftbukkit,1.3.1-R2.0,-,2012-10-01
mysql-connector-java,5.1.21,+,2012-10-01
mysql-connector-java,5.1.21,-,2012-09-18
mysql-connector-java,5.1.21,-,2012-10-01
mysql-connector-java,5.1.21,+,2012-09-18
mysql-connector-java,5.1.21,+,2012-09-14
h2,1.3.168,+,2012-09-18
h2,1.3.168,-,2012-10-01
h2,1.3.168,+,2012-09-14
h2,1.3.168,+,2012-10-01
h2,1.3.168,-,2012-09-18
