library,version,sign,date
junit,4.10,+,2012-02-26
junit,4.10,-,2013-08-18
junit,4.11,+,2013-07-02
junit,4.11,+,2013-08-18
junit,4.10,+,2012-05-13
junit,4.10,-,2012-02-26
junit,4.10,-,2012-05-13
spring-generics,4.1.4,+,2015-01-19
spring-generics,4.1.4,-,2016-02-24
flapi-runtime,0.4-SNAPSHOT,+,2013-04-23
flapi-runtime,0.4-SNAPSHOT,-,2013-07-02
codemodel,2.2,+,2012-02-16
codemodel,2.2,-,2012-05-13
codemodel,1.0.1,-,2015-01-14
codemodel,1.0,-,2014-08-01
codemodel,2.2,+,2012-05-13
codemodel,2.2,-,2013-02-06
codemodel,1.0.2,-,2015-04-22
codemodel,1.0-SNAPSHOT,-,2013-04-20
flapi-builder,0.5.1,-,2014-08-01
flapi-builder,0.5-SNAPSHOT,-,2014-01-09
flapi-builder,0.0-DEVELOPMENT,-,2014-07-31
flapi-builder,0.6-SNAPSHOT,-,2014-01-10
flapi-builder,0.5-SNAPSHOT,+,2013-08-18
guava,12.0,-,2013-02-06
guava,18.0,-,2015-04-22
guava,14.0.1,-,2014-08-10
guava,12.0,+,2012-06-25
