library,version,sign,date
business-validation,0.0.1-SNAPSHOT,-,2012-11-13
business-validation,0.0.1-SNAPSHOT,+,2012-04-02
business-validation,0.0.1-SNAPSHOT,-,2013-02-21
business-navigation,0.0.1-SNAPSHOT,+,2013-02-07
business-navigation,0.0.1-SNAPSHOT,+,2012-04-03
business-navigation,0.0.1-SNAPSHOT,+,2012-04-02
business-navigation,0.0.1-SNAPSHOT,-,2013-02-21
business-parameter-storage,0.0.1-SNAPSHOT,-,2012-11-13
business-parameter-storage,0.0.1-SNAPSHOT,+,2012-04-02
business-parameter-storage,0.0.1-SNAPSHOT,-,2013-02-21
business-taskexecutor,0.0.1-SNAPSHOT,+,2012-04-02
business-taskexecutor,0.0.1-SNAPSHOT,-,2013-02-21
business-core,0.0.1-SNAPSHOT,+,2013-01-16
business-core,0.0.1-SNAPSHOT,+,2012-04-03
business-core,0.0.1-SNAPSHOT,+,2012-04-02
business-core,0.0.1-SNAPSHOT,-,2013-02-21
business-systemmonitoring,0.0.1-SNAPSHOT,-,2012-11-13
business-systemmonitoring,0.0.1-SNAPSHOT,+,2012-04-02
business-systemmonitoring,0.0.1-SNAPSHOT,-,2013-02-21
business-queuemanagement,0.0.1-SNAPSHOT,+,2013-01-16
business-queuemanagement,0.0.1-SNAPSHOT,-,2013-02-21
business-scripting,0.0.1-SNAPSHOT,-,2012-11-13
business-scripting,0.0.1-SNAPSHOT,+,2012-04-02
business-scripting,0.0.1-SNAPSHOT,-,2013-02-21
business-commanding,0.0.1-SNAPSHOT,+,2012-04-03
business-commanding,0.0.1-SNAPSHOT,+,2012-04-02
business-commanding,0.0.1-SNAPSHOT,-,2013-02-21
business-metadatapublisher,0.0.1-SNAPSHOT,-,2012-11-13
business-metadatapublisher,0.0.1-SNAPSHOT,+,2012-04-03
business-metadatapublisher,0.0.1-SNAPSHOT,+,2012-04-02
business-metadatapublisher,0.0.1-SNAPSHOT,-,2012-12-11
business-metadatapublisher,0.0.1-SNAPSHOT,-,2013-02-21
business-metadatapublisher,0.0.1-SNAPSHOT,+,2012-12-16
