library,version,sign,date
easymock,3.0,-,2012-04-25
slf4j-api,1.6.2,-,2012-04-25
slf4j-api,1.6.2,-,2012-10-03
spring-integration-core,2.0.5.RELEASE,-,2012-04-25
spring-integration-core,2.1.0.RELEASE,-,2012-04-25
wasp-interface,0.1.0-SNAPSHOT,-,2012-11-05
wasp-interface,0.1.0-SNAPSHOT,+,2012-11-04
json,20080701,+,2012-11-06
json,20080701,-,2013-07-09
json,20131018,+,2013-07-09
testng,6.3.1,-,2012-11-06
testng,6.3,-,2012-11-05
testng,6.3,-,2012-04-25
testng,6.8,-,2013-07-09
spring-integration-ip,2.1.1.RELEASE,-,2012-04-25
spring-integration-rmi,2.1.1.RELEASE,-,2012-04-25
spring-context-support,3.1.0.RELEASE,-,2012-04-25
spring-context,3.1.0.RELEASE,-,2012-04-25
