library,version,sign,date
junit,3.8.1,+,2014-01-03
junit,3.8.1,-,2014-01-03
junit,3.8.1,-,2013-12-05
junit,3.8.1,+,2013-12-05
SignLink,1.31,-,2013-03-19
SignLink,1.34,-,2014-01-03
SignLink,1.34,+,2013-12-05
SignLink,1.32,-,2013-05-20
SignLink,1.33,-,2013-07-10
SignLink,1.30,-,2013-02-22
SignLink,1.34,+,2014-01-03
SignLink,1.34,-,2013-12-05
bukkit,1.5.2-R0.1,-,2013-05-20
bukkit,1.4.7-R1.1-SNAPSHOT,-,2013-02-28
bukkit,1.7.2-R0.1-SNAPSHOT,+,2013-12-05
bukkit,1.6.2-R0.1-SNAPSHOT,-,2013-10-03
bukkit,1.7.2-R0.1-SNAPSHOT,-,2013-12-05
bukkit,1.5.1-R0.1,-,2013-05-20
bukkit,1.7.2-R0.1-SNAPSHOT,+,2014-01-03
bukkit,1.5-R0.1-SNAPSHOT,-,2013-04-08
bukkit,1.7.2-R0.1-SNAPSHOT,-,2014-01-03
essentials,2.10.1,-,2013-12-05
essentials,2.10.1,+,2013-12-05
essentials,2.9.1,-,2013-02-21
essentials,2.9.1,+,2013-02-21
essentials,2.10.1,-,2014-01-03
essentials,2.10.1,+,2014-01-03
BKCommonLib,1.49,-,2013-02-21
BKCommonLib,1.57-SNAPSHOT,-,2014-01-25
BKCommonLib,1.57-SNAPSHOT,-,2014-01-03
BKCommonLib,1.54-SNAPSHOT,-,2013-07-20
BKCommonLib,1.51-SNAPSHOT,-,2013-05-20
BKCommonLib,1.57-SNAPSHOT,+,2014-01-03
BKCommonLib,1.52-SNAPSHOT,-,2013-05-20
BKCommonLib,1.43,-,2013-01-20
BKCommonLib,1.50-SNAPSHOT,-,2013-02-28
BKCommonLib,1.54,-,2013-10-03
BKCommonLib,1.57-SNAPSHOT,+,2013-12-05
BKCommonLib,1.57-SNAPSHOT,-,2013-12-05
MyWorlds,1.58,-,2013-02-21
MyWorlds,1.67,-,2014-01-03
MyWorlds,1.67,+,2013-12-05
MyWorlds,1.66,-,2013-10-03
MyWorlds,1.60,-,2013-03-17
MyWorlds,1.63,-,2013-08-15
MyWorlds,1.67,+,2014-01-03
MyWorlds,1.62,-,2013-07-10
MyWorlds,1.67,-,2013-12-05
MyWorlds,1.61,-,2013-05-20
