library,version,sign,date
bytecode,1.8.6-SNAPSHOT,-,2014-06-13
bytecode,3.0-beta1,-,2010-11-24
bytecode,1.8.2,-,2012-03-24
bytecode,1.9.0-rc1,-,2014-06-16
bytecode,1.8.2,-,2012-03-23
bytecode,1.8.3-SNAPSHOT,-,2013-04-19
bytecode,1.9.3,-,2018-03-22
bytecode,1.9.0,-,2014-06-25
bytecode,1.8.3-SNAPSHOT,-,2013-07-18
bytecode,1.9.3-SNAPSHOT,-,2015-03-13
bytecode,1.9.2-SNAPSHOT,-,2014-08-26
bytecode,1.9.3-rc1,-,2018-03-22
bytecode,1.8.2-SNAPSHOT,-,2011-02-14
bytecode,1.8.1,-,2011-02-14
bytecode,1.8.3-SNAPSHOT,-,2012-03-23
bytecode,1.8.3,-,2013-07-18
bytecode,1.8.5-SNAPSHOT,-,2013-08-27
bytecode,1.8-SNAPSHOT,-,2010-11-24
bytecode,1.9.1-SNAPSHOT,-,2014-06-25
bytecode,1.8,-,2010-12-28
bytecode,1.9.2,-,2015-03-13
bytecode,1.8.1-SNAPSHOT,-,2010-12-28
bytecode,1.9.1,-,2014-08-26
bytecode,3.0-beta1,+,2010-11-22
bytecode,1.8.5,-,2014-03-31
bytecode,1.8.2-SNAPSHOT,-,2012-03-23
bytecode,1.8-beta2-SNAPSHOT,-,2010-11-24
bytecode,1.9.3-SNAPSHOT,-,2018-03-22
bytecode,1.8.6-SNAPSHOT,-,2014-06-16
bytecode,1.8.4-SNAPSHOT,-,2013-08-27
bytecode,1.8.4,-,2013-08-27
bytecode,1.8-beta1,-,2010-11-24
junit,4.7,+,2010-11-22
junit,4.7,+,2013-08-27
junit,4.7,-,2013-08-27
commons-dbcp,1.2.2,+,2010-11-22
commons-dbcp,1.2.2,-,2013-08-27
commons-dbcp,1.2.2,+,2013-08-27
