library,version,sign,date
jackson-annotations,2.3.0,-,2014-01-05
jackson-annotations,2.3.1,-,2015-05-21
jackson-annotations,2.8.4,-,2018-04-28
jackson-annotations,2.5.3,-,2016-10-14
jackson-annotations,2.0.0,+,2012-05-05
jackson-annotations,2.1.2,-,2013-11-19
jackson-annotations,2.3.1,-,2016-10-14
jackson-annotations,2.0.0,+,2012-06-21
jackson-annotations,2.1.2,+,2013-01-19
jackson-annotations,2.0.0,-,2013-11-19
jackson-annotations,2.3.0,+,2013-12-06
jackson-annotations,2.0.0,-,2012-06-21
jackson-annotations,2.9.5,-,2018-06-01
spring-test,3.2.5.RELEASE,-,2014-01-05
spring-test,4.3.17.RELEASE,-,2018-06-01
spring-test,4.0.0.RELEASE,-,2016-01-23
spring-test,4.0.0.RELEASE,-,2015-12-31
spring-test,3.2.0.RELEASE,-,2013-03-28
spring-test,3.2.0.RELEASE,-,2012-12-25
spring-test,4.0.0.RELEASE,+,2014-01-26
spring-test,3.2.0.RELEASE,+,2012-12-25
spring-test,2.5.5,-,2012-06-21
spring-test,3.0.5.RELEASE,-,2018-04-28
mail,1.4.7,+,2013-12-06
xillium-base,1.0-SNAPSHOT,-,2014-05-30
xillium-base,1.0-SNAPSHOT,+,2012-12-23
xillium-base,1.1-SNAPSHOT,-,2015-05-26
xillium-base,1.0-SNAPSHOT,-,2012-12-23
xillium-base,1.1.0,-,2016-10-14
jackson-databind,2.3.0,-,2014-01-05
jackson-databind,2.3.1,-,2015-05-21
jackson-databind,2.8.4,-,2018-04-28
jackson-databind,2.5.3,-,2016-10-14
jackson-databind,2.0.0,+,2012-05-05
jackson-databind,2.1.2,-,2013-11-19
jackson-databind,2.3.1,-,2016-10-14
jackson-databind,2.0.0,+,2012-06-21
jackson-databind,2.1.2,+,2013-01-19
jackson-databind,2.0.0,-,2013-11-19
jackson-databind,2.3.0,+,2013-12-06
jackson-databind,2.0.0,-,2012-06-21
jackson-databind,2.9.5,-,2018-06-01
jackson-core,2.3.0,-,2014-01-05
jackson-core,2.3.1,-,2015-05-21
jackson-core,2.8.4,-,2018-04-28
jackson-core,2.5.3,-,2016-10-14
jackson-core,2.0.0,+,2012-05-05
jackson-core,2.1.2,-,2013-11-19
jackson-core,2.3.1,-,2016-10-14
jackson-core,2.0.0,+,2012-06-21
jackson-core,2.1.2,+,2013-01-19
jackson-core,2.0.0,-,2013-11-19
jackson-core,2.3.0,+,2013-12-06
jackson-core,2.0.0,-,2012-06-21
jackson-core,2.9.5,-,2018-06-01
xillium-data,1.0-SNAPSHOT,-,2014-05-30
xillium-data,1.0-SNAPSHOT,+,2012-12-23
xillium-data,1.1-SNAPSHOT,-,2015-05-26
xillium-data,1.1.0,-,2016-10-14
xillium-data,1.0-SNAPSHOT,-,2012-12-25
spring-web,3.2.5.RELEASE,-,2014-01-05
spring-web,3.2.0.RELEASE,-,2013-03-28
spring-web,4.3.17.RELEASE,-,2018-06-01
spring-web,3.2.0.RELEASE,-,2012-12-25
spring-web,3.2.0.RELEASE,+,2012-12-25
spring-web,3.0.5.RELEASE,-,2012-06-21
spring-web,4.0.0.RELEASE,-,2015-12-31
spring-web,3.0.5.RELEASE,-,2018-04-28
javax.servlet-api,3.0.1,+,2013-01-19
javax.servlet-api,3.0.1,+,2014-05-30
javax.servlet-api,3.0.1,-,2016-10-14
spring-jdbc,3.2.5.RELEASE,-,2014-01-05
spring-jdbc,3.0.5.RELEASE,+,2016-01-23
spring-jdbc,4.3.17.RELEASE,-,2018-06-01
spring-jdbc,3.0.5.RELEASE,-,2012-06-21
spring-jdbc,4.0.0.RELEASE,-,2015-12-31
spring-jdbc,3.2.0.RELEASE,-,2013-03-28
spring-jdbc,3.2.0.RELEASE,-,2012-12-25
spring-jdbc,3.2.0.RELEASE,+,2012-12-25
spring-jdbc,3.1.3.RELEASE,-,2013-01-18
spring-jdbc,3.1.3.RELEASE,+,2012-12-25
spring-jdbc,3.0.5.RELEASE,-,2018-04-28
spring-tx,3.2.5.RELEASE,-,2014-01-05
spring-tx,3.0.5.RELEASE,+,2016-01-23
spring-tx,4.3.17.RELEASE,-,2018-06-01
spring-tx,3.0.5.RELEASE,-,2012-06-21
spring-tx,4.0.0.RELEASE,-,2015-12-31
spring-tx,3.2.0.RELEASE,-,2013-03-28
spring-tx,3.1.3.RELEASE,-,2012-12-25
spring-tx,3.1.3.RELEASE,-,2013-01-18
spring-tx,3.1.3.RELEASE,+,2012-12-25
spring-tx,3.0.5.RELEASE,-,2018-04-28
spring-boot,2.1.5.RELEASE,+,2018-06-01
commons-fileupload,1.2.2,-,2013-11-19
commons-fileupload,1.3.2,-,2019-08-15
commons-fileupload,1.3.1,-,2016-10-14
commons-fileupload,1.3,-,2015-12-31
dumbster,1.6,+,2013-12-06
