library,version,sign,date
commons-cli,1.2,+,2013-10-29
org.restlet.ext.servlet,2.0-SNAPSHOT,-,2013-10-30
org.bridgedb.bio,2.3.0,-,2018-10-17
org.bridgedb.bio,2.2.2,-,2017-09-09
org.bridgedb.bio,2.0.1.openphacts,-,2015-04-15
org.bridgedb.bio,2.2.3-SNAPSHOT,-,2017-09-09
org.bridgedb.bio,2.0.2-SNAPSHOT,-,2015-04-15
org.bridgedb.bio,2.2.0-SNAPSHOT,-,2015-12-12
org.bridgedb.bio,1.1.0,-,2011-10-04
org.bridgedb.bio,2.3.0,-,2018-04-17
org.bridgedb.bio,2.2.0,-,2017-08-27
org.bridgedb.bio,2.2.2-SNAPSHOT,-,2017-08-30
org.bridgedb.bio,2.0.3-SNAPSHOT,-,2015-08-04
org.bridgedb.bio,1.1.1-SNAPSHOT,-,2011-10-04
org.bridgedb.bio,2.2.1,+,2017-08-30
org.bridgedb.bio,2.2.0-SNAPSHOT,-,2016-04-19
org.bridgedb.bio,2.1.3.openphacts,-,2016-04-19
org.bridgedb.bio,2.0.2.openphacts,-,2015-05-08
org.bridgedb.bio,2.2.1-SNAPSHOT,-,2017-08-29
org.bridgedb.bio,2.3.1-SNAPSHOT,-,2018-04-17
org.bridgedb.bio,1.0-SNAPSHOT,-,2011-02-04
org.bridgedb.bio,2.4.0-SNAPSHOT,-,2018-10-17
org.bridgedb.bio,2.2.1,-,2018-04-17
org.bridgedb.bio,2.2.0-SNAPSHOT,+,2015-08-05
org.bridgedb.bio,2.2.1,-,2017-08-30
org.bridgedb.bio,1.0-SNAPSHOT,+,2010-06-02
org.bridgedb.webservice.bridgerest,2.0.3-SNAPSHOT,-,2015-08-04
org.bridgedb.webservice.bridgerest,1.1.1-SNAPSHOT,-,2011-10-04
org.bridgedb.webservice.bridgerest,2.0.1.openphacts,-,2015-04-15
org.bridgedb.webservice.bridgerest,2.0.2.openphacts,-,2015-05-08
org.bridgedb.webservice.bridgerest,1.0-SNAPSHOT,-,2011-02-04
org.bridgedb.webservice.bridgerest,2.0.2-SNAPSHOT,-,2015-04-15
org.bridgedb.webservice.bridgerest,1.1.0,-,2011-10-04
org.bridgedb.webservice.bridgerest,1.0-SNAPSHOT,+,2010-06-02
org.bridgedb.rdb,2.0.2.openphacts,-,2015-05-08
org.bridgedb.rdb,2.0.2-SNAPSHOT,-,2015-04-15
org.bridgedb.rdb,2.0.3-SNAPSHOT,-,2015-08-04
org.bridgedb.rdb,2.0.1.openphacts,-,2015-04-15
org.bridgedb,2.0.2-SNAPSHOT,-,2015-04-15
org.bridgedb,1.1.0,-,2011-10-04
org.bridgedb,1.1.1-SNAPSHOT,-,2011-10-04
org.bridgedb,1.0-SNAPSHOT,-,2011-02-04
org.bridgedb,2.0.1.openphacts,-,2015-04-15
org.bridgedb,2.0.3-SNAPSHOT,-,2015-08-04
org.bridgedb,2.0.2.openphacts,-,2015-05-08
org.bridgedb,1.0-SNAPSHOT,+,2010-06-02
