library,version,sign,date
junit,3.8.1,+,2010-02-18
junit,4.4,-,2010-01-30
junit,4.4,-,2012-06-26
junit,3.8.1,+,2008-11-12
junit,3.8.1,+,2009-10-26
junit,3.8.1,-,2011-04-24
junit,3.8.1,-,2011-04-23
junit,4.4,-,2008-11-12
junit,4.4,+,2009-10-26
junit,4.4,+,2012-06-26
junit,3.8.1,-,2010-01-30
junit,3.8.1,+,2008-07-08
junit,4.4,+,2011-04-23
junit,4.4,+,2010-02-18
junit,4.4,+,2008-11-12
junit,3.8.1,-,2008-07-08
junit,3.8.1,+,2011-04-23
junit,4.4,-,2008-07-08
junit,3.8.1,-,2009-10-26
junit,4.4,+,2010-01-30
junit,3.8.1,-,2010-02-18
junit,3.8.1,+,2010-01-30
junit,4.4,-,2009-10-26
junit,4.4,-,2011-04-23
junit,4.4,+,2008-07-08
junit,4.4,-,2010-02-18
junit,3.8.1,-,2008-11-12
brix-core,1.1.0-SNAPSHOT,-,2010-02-18
brix-core,1.2.2,-,2010-09-23
brix-core,1.2.3,-,2011-04-23
brix-core,8.0-SNAPSHOT,+,2012-06-26
brix-core,1.3.0-SNAPSHOT,-,2011-06-02
brix-core,1.1.0-SNAPSHOT,-,2010-01-30
brix-core,1.0-beta2,-,2008-11-12
brix-core,1.2.0,-,2010-04-02
brix-core,1.0-SNAPSHOT,-,2008-07-08
brix-core,1.1.0-SNAPSHOT,+,2010-02-18
brix-core,8.0-SNAPSHOT,-,2017-01-20
brix-core,1.0.0,+,2008-11-12
brix-core,1.3.0-SNAPSHOT,-,2011-04-23
brix-core,1.2.3,+,2011-04-19
brix-core,1.1.0,-,2010-03-07
brix-core,1.0-SNAPSHOT,-,2008-07-23
brix-core,1.2.0-SNAPSHOT,-,2010-03-07
brix-core,1.0-beta1,+,2008-07-08
brix-core,1.1.0.20100218,-,2010-02-18
brix-core,1.2.3-SNAPSHOT,-,2011-04-23
brix-core,1.0-beta1,-,2008-07-23
brix-core,1.2.2-SNAPSHOT,-,2010-08-20
brix-core,1.3.0-SNAPSHOT,+,2011-04-23
brix-core,1.0.1-SNAPSHOT,-,2009-10-26
brix-core,1.0.0,-,2009-10-26
brix-core,1.2.1-SNAPSHOT,-,2010-04-02
brix-core,6.0-SNAPSHOT,-,2012-06-26
brix-core,1.2.1,-,2010-04-20
brix-core,1.2.3-SNAPSHOT,-,2010-09-23
brix-core,1.0.1-SNAPSHOT,+,2009-10-26
brix-core,1.0.1-SNAPSHOT,-,2009-11-25
brix-core,1.1.0.20100218,+,2010-01-30
brix-core,1.0-SNAPSHOT,-,2008-11-12
