library,version,sign,date
fox-platform-sql-script,1.30.0-SNAPSHOT,-,2012-10-01
fox-platform-sql-script,1.28.0-SNAPSHOT,-,2012-08-02
fox-platform-sql-script,1.30.0,-,2012-12-21
fox-platform-sql-script,1.32.0-SNAPSHOT,-,2013-01-17
fox-platform-sql-script,1.33.0,-,2013-03-04
fox-platform-sql-script,1.32.0,-,2013-02-15
fox-platform-sql-script,1.27.0-SNAPSHOT,+,2012-07-20
fox-platform-sql-script,1.33.0-SNAPSHOT,-,2013-03-02
fox-platform-sql-script,1.29.0,-,2012-09-13
fox-platform-sql-script,1.27.0-SNAPSHOT,-,2012-08-02
fox-platform-sql-script,1.29.0-SNAPSHOT,-,2012-08-17
fox-platform-sql-script,1.28.0,-,2012-08-17
fox-platform-sql-script,1.31.0,-,2013-01-17
fox-platform-sql-script,1.27.0,-,2012-08-02
fox-platform-sql-script,1.31.0-SNAPSHOT,-,2012-12-21
fox-platform-qa,1.28.0-SNAPSHOT,-,2012-08-02
fox-platform-qa,1.33.0-SNAPSHOT,-,2013-03-02
fox-platform-qa,1.31.0,-,2013-01-17
fox-platform-qa,1.24.0-SNAPSHOT,-,2012-06-07
fox-platform-qa,1.19.0.CRtest6,-,2012-04-03
fox-platform-qa,1.30.0-SNAPSHOT,-,2012-10-01
fox-platform-qa,0.18.0-SNAPSHOT,-,2012-03-16
fox-platform-qa,1.23.0-SNAPSHOT,-,2012-05-22
fox-platform-qa,1.19.0.CRtest3,-,2012-04-03
fox-platform-qa,1.31.0-SNAPSHOT,-,2012-12-21
fox-platform-qa,1.19.0.CRtest4,-,2012-04-03
fox-platform-qa,1.19.0.CRtest7,-,2012-04-04
fox-platform-qa,1.32.0,-,2013-02-15
fox-platform-qa,1.28.0,-,2012-08-17
fox-platform-qa,1.19.0.CRtest,-,2012-04-03
fox-platform-qa,1.27.0-SNAPSHOT,-,2012-08-02
fox-platform-qa,1.29.0-SNAPSHOT,-,2012-08-17
fox-platform-qa,1.19.0.CRtest8,-,2012-04-04
fox-platform-qa,1.21.0-SNAPSHOT,-,2012-04-20
fox-platform-qa,1.26.0-SNAPSHOT,-,2012-07-05
fox-platform-qa,1.25.0,-,2012-07-05
fox-platform-qa,1.26.0,-,2012-07-20
fox-platform-qa,1.22.0-SNAPSHOT,-,2012-05-04
fox-platform-qa,1.19.0.CR-SNAPSHOT,-,2012-04-04
fox-platform-qa,1.19.0.CRtest2,-,2012-04-03
fox-platform-qa,1.19.0.CR-SNAPSHOT,-,2012-04-02
fox-platform-qa,1.22.0-SNAPSHOT,-,2012-05-03
fox-platform-qa,1.19.0.CR-SNAPSHOT,-,2012-04-03
fox-platform-qa,1.19.0.CR-SNAPSHOT,-,2012-04-11
fox-platform-qa,1.32.0-SNAPSHOT,-,2013-01-17
fox-platform-qa,1.19.0.CRtest5,-,2012-04-03
fox-platform-qa,1.21.0,-,2012-05-02
fox-platform-qa,1.22.0,-,2012-05-16
fox-platform-qa,1.29.0,-,2012-09-13
fox-platform-qa,1.27.0,-,2012-08-02
fox-platform-qa,1.24.0,-,2012-06-22
fox-platform-qa,1.21.1,-,2012-05-03
fox-platform-qa,1.19.0.CR-SNAPSHOT,-,2012-04-20
fox-platform-qa,1.20.0,-,2012-04-20
fox-platform-qa,1.33.0,-,2013-03-04
fox-platform-qa,1.19.0.CRtest1,-,2012-04-03
fox-platform-qa,1.25.0-SNAPSHOT,-,2012-06-22
fox-platform-qa,1.18.4.CR,-,2012-03-20
fox-platform-qa,1.30.0,-,2012-12-21
fox-platform-qa,1.23.0,-,2012-06-07
fox-platform-qa,1.20.0-SNAPSHOT,-,2012-04-12
