library,version,sign,date
easymock,2.4,-,2010-09-21
easymock,2.4,+,2010-09-21
hibernate-jpa-2.0-api,1.0.0.Final,+,2010-10-12
selenium-server,2.35.0,+,2015-06-08
hibernate-validator,4.0.0.GA,+,2010-09-21
hibernate-validator,4.0.0.GA,-,2010-09-23
kaptcha,2.3.2,+,2012-12-27
slf4j-log4j12,1.5.6,-,2012-12-27
slf4j-log4j12,1.5.6,+,2012-12-27
slf4j-log4j12,1.5.6,+,2010-11-03
h2,1.2.142,+,2010-09-30
testng,5.12.1,-,2010-09-21
testng,5.12.1,-,2010-09-23
testng,5.12.1,+,2010-09-21
selenium-java,2.35.0,+,2015-06-08
servlet-api,2.5,-,2010-09-21
servlet-api,2.5,+,2010-09-21
