library,version,sign,date
jstl,1.2,+,2011-03-31
jstl,1.2,-,2011-03-31
junit,4.10,+,2011-04-21
junit,4.8.1,+,2011-03-31
junit,4.8.1,-,2011-04-21
junit,4.8.1,-,2011-03-31
freemarker,2.3.20,+,2013-03-12
groovy,2.4.0-beta-2,+,2014-03-01
cm4j-dao,0.0.1-SNAPSHOT,+,2011-03-31
cm4j-dao,0.0.1-SNAPSHOT,-,2011-03-31
cm4j-dao,0.0.1-SNAPSHOT,-,2011-04-21
http-builder,0.7,+,2014-03-01
perf4j,0.9.13,+,2011-03-31
perf4j,0.9.13,-,2011-03-31
perf4j,0.9.13,-,2011-04-21
perf4j,0.9.16,+,2011-04-21
deepcopy,1.5,+,2011-04-21
deepcopy,1.5,+,2013-02-11
c3p0,0.9.1.2,-,2011-03-31
c3p0,0.9.1.2,+,2011-03-31
netty,3.2.7.Final,+,2011-04-21
netty,3.2.4.Final,+,2011-04-21
netty,3.2.4.Final,-,2011-04-21
