library,version,sign,date
cglib,2.2,+,2011-07-23
codegist-common,1.0.0,-,2011-01-06
codegist-common,1.0.0,-,2011-01-04
codegist-common,1.0.0,-,2011-01-03
codegist-common,1.0.0-SNAPSHOT,-,2011-01-04
codegist-common,2.0.0-SNAPSHOT,-,2011-02-12
codegist-common,1.0.2-SNAPSHOT,-,2011-02-12
codegist-common,1.0.1,-,2011-01-24
codegist-common,1.0.1-SNAPSHOT,-,2011-01-06
codegist-common,2.0.0-RC1-SNAPSHOT,+,2011-06-21
codegist-common,2.0.0-RC1-SNAPSHOT,-,2011-10-13
simple-xml,2.5.3,+,2011-07-23
simple-xml,2.4.1,+,2011-02-12
simple-xml,2.4.1,-,2011-02-12
simple-xml,2.4.1,+,2011-02-10
simple-xml,2.4.1,-,2011-02-16
jaxb-impl,2.1,-,2011-02-12
jaxb-impl,2.1,-,2011-01-24
jaxb-impl,2.1,+,2011-07-23
jaxb-impl,2.1,+,2011-02-12
jaxb-impl,2.1,+,2011-01-24
jaxb-impl,2.1,+,2011-01-06
jsr311-api,1.1.1,+,2011-06-21
jsr311-api,1.1.1,-,2011-02-04
jsr311-api,1.1.1,+,2011-01-12
jackson-mapper-asl,1.6.0,-,2011-02-12
jackson-mapper-asl,1.6.0,+,2010-12-17
jackson-mapper-asl,1.6.0,+,2011-07-23
jackson-mapper-asl,1.6.0,+,2011-02-12
httpclient,4.1,-,2011-02-12
httpclient,4.0.1,+,2011-07-23
httpclient,4.0.3,-,2011-02-02
httpclient,4.1,+,2011-02-12
httpclient,4.1,-,2011-07-09
log4j,1.2.16,+,2011-02-12
log4j,1.2.16,+,2011-02-10
log4j,1.2.16,-,2011-02-10
log4j,1.2.16,+,2010-11-22
log4j,1.2.16,+,2011-06-11
log4j,1.2.16,-,2011-06-11
log4j,1.2.16,+,2011-02-16
log4j,1.2.16,-,2011-01-24
log4j,1.2.16,-,2011-02-12
log4j,1.2.16,+,2011-01-24
