library,version,sign,date
junit,4.10,-,2013-04-13
junit,4.4,+,2009-10-26
junit,4.4,+,2009-12-18
junit,4.12,+,2015-04-06
junit,4.5,-,2012-12-05
junit,4.11,-,2015-04-06
junit,4.4,-,2009-12-18
junit,4.4,-,2009-10-26
junit,4.10,+,2012-12-05
junit,4.4,-,2013-04-13
junit,4.5,+,2009-12-18
junit,4.11,+,2013-04-13
junit,4.11,-,2013-04-13
junit,4.5,-,2013-04-13
junit,4.7,-,2013-04-07
junit,4.5,+,2009-10-26
constretto-api,3.0.0-SNAPSHOT,-,2017-10-21
constretto-api,1.0-rc-10,-,2009-10-26
constretto-api,2.0.3,-,2013-04-26
constretto-api,2.0.4,+,2013-04-26
constretto-api,1.0.1,-,2010-06-03
constretto-api,2.0,-,2013-04-07
constretto-api,1.0-rc-11,-,2009-12-14
constretto-api,1.0-rc-12,-,2010-03-10
constretto-api,1.0-rc-3,-,2009-06-02
constretto-api,1.1,-,2011-02-26
constretto-api,2.0.4,-,2013-06-27
constretto-api,3.0.0-SNAPSHOT,+,2015-04-06
constretto-api,1.0-rc-5,-,2009-09-07
constretto-api,2.1.0,-,2015-04-06
constretto-api,1.0,-,2010-04-19
constretto-api,1.0-rc-2,-,2009-06-02
constretto-api,1.0-rc-4,-,2009-06-02
constretto-api,1.1.2,-,2011-09-21
constretto-core,3.0.0-SNAPSHOT,-,2017-10-21
constretto-core,1.0-rc-10,-,2009-10-26
constretto-core,2.0.3,-,2013-04-26
constretto-core,2.0.4,+,2013-04-26
constretto-core,1.0.1,-,2010-06-03
constretto-core,2.0,-,2013-04-07
constretto-core,1.0-rc-11,-,2009-12-14
constretto-core,1.0-rc-12,-,2010-03-10
constretto-core,1.0-rc-3,-,2009-06-02
constretto-core,1.1,-,2011-02-26
constretto-core,2.0.4,-,2013-06-27
constretto-core,3.0.0-SNAPSHOT,+,2015-04-06
constretto-core,1.0-rc-5,-,2009-09-07
constretto-core,2.1.0,-,2015-04-06
constretto-core,1.0,-,2010-04-19
constretto-core,1.0-rc-2,-,2009-06-02
constretto-core,1.0-rc-4,-,2009-06-02
constretto-core,1.1.2,-,2011-09-21
reflections,0.9.10,+,2015-04-06
