library,version,sign,date
slf4j-api,1.6.1,+,2013-11-29
servlet,1.0,+,2013-11-27
itext-asian,5.2.0,+,2014-02-18
jcommon,1.0.6,+,2014-02-18
cssparser,0.9.14,+,2014-11-20
org.eclipse.birt.runtime,4.3.0,+,2013-11-26
org.eclipse.birt.runtime,4.3.1,+,2014-01-04
org.eclipse.birt.runtime,4.3.0,-,2014-01-04
org.eclipse.birt.runtime,4.3.1,+,2013-10-28
json,20090211,+,2013-10-12
jbossseambirt,1.0,+,2013-11-27
richfaces,4.3.7.Final,+,2014-04-28
richfaces,4.3.7.Final,-,2014-06-07
richfaces,4.5.0.Final,+,2014-06-07
richfaces,4.5.1.Final,+,2014-11-29
richfaces,4.5.1.Final,-,2014-12-07
richfaces,4.3.6.Final,+,2014-03-18
richfaces,4.5.2.Final,+,2014-12-07
richfaces,4.3.6.Final,-,2014-06-07
richfaces,4.3.6.Final,+,2014-06-07
richfaces,4.3.6.Final,-,2014-04-28
richfaces,4.3.5.Final,+,2014-01-05
richfaces,4.3.5.Final,-,2014-03-18
richfaces,4.5.0.Final,-,2014-11-29
richfaces,4.3.3.Final,-,2014-01-05
poi,3.9,-,2014-01-04
poi,3.9,+,2014-01-04
poi,3.9,+,2013-11-26
axis,1.4,+,2013-11-26
jfreechart,1.0.13.cn,+,2014-02-18
jfreechart,1.0.13.cn,-,2014-03-18
base64coder,2010-09-21,+,2014-04-16
