library,version,sign,date
slf4j-api,1.6.6,-,2013-08-07
slf4j-api,1.6.6,+,2013-08-07
slf4j-api,1.6.6,-,2014-02-14
slf4j-api,1.7.5,-,2014-04-13
slf4j-api,1.7.5,+,2014-01-14
slf4j-api,1.7.5,-,2014-02-21
slf4j-api,1.7.5,+,2014-02-14
slf4j-api,1.7.5,+,2014-02-12
slf4j-api,1.7.5,-,2014-02-14
slf4j-api,1.7.5,-,2014-01-27
spring-beans,3.1.1.RELEASE,+,2013-09-06
spring-beans,3.1.1.RELEASE,-,2014-02-21
jackson-annotations,2.3.3,-,2014-05-06
jackson-annotations,2.3.1,+,2014-02-14
jackson-annotations,2.3.1,-,2014-04-30
spring-core,3.1.1.RELEASE,+,2013-09-06
spring-core,3.1.1.RELEASE,-,2014-02-21
jackson-databind,2.3.3,-,2014-05-06
jackson-databind,2.3.1,-,2014-04-13
jackson-databind,2.3.1,+,2014-02-14
jackson-databind,2.3.1,-,2014-04-30
jackson-core,2.3.3,-,2014-05-06
jackson-core,2.3.1,-,2014-04-13
jackson-core,2.3.1,+,2014-02-14
jackson-core,2.3.1,-,2014-04-30
xstream,1.4.7,-,2018-07-24
xstream,1.4.10,+,2018-07-24
xstream,1.4.7,+,2014-05-06
xstream,1.4.11.1,+,2019-07-29
xstream,1.4.10,-,2019-07-29
spring-web,3.1.0.RELEASE,-,2014-01-27
spring-web,3.1.0.RELEASE,+,2014-01-14
spring-context,3.1.1.RELEASE,+,2013-09-06
spring-context,3.1.1.RELEASE,-,2014-02-21
