library,version,sign,date
bukkit,1.5.2-R0.1,-,2015-03-07
bukkit,1.2.3-R0.1-SNAPSHOT,-,2012-03-03
bukkit,1.4.5-R0.1-SNAPSHOT,-,2012-11-25
bukkit,1.3.1-R2.0,-,2012-08-27
bukkit,0.0.1-SNAPSHOT,-,2011-11-16
bukkit,1.4.6-R0.2-SNAPSHOT,-,2012-12-28
bukkit,1.2.3-R0.2-SNAPSHOT,-,2012-03-06
bukkit,1.4.2-R0.1,-,2012-11-02
bukkit,1.2.4-R0.1-SNAPSHOT,-,2012-03-27
bukkit,1.3.2-R1.0,-,2012-10-03
bukkit,1.3.1-R1.0,-,2012-08-23
bukkit,1.2.3-R0.3-SNAPSHOT,-,2012-03-27
bukkit,1.3.2-R0.1,-,2012-09-30
bukkit,1.4.2-R0.1-SNAPSHOT,-,2012-10-28
bukkit,1.0.0-R1-SNAPSHOT,-,2011-12-06
bukkit,1.0.1-R1,-,2012-01-11
bukkit,1.5.2-R0.1,+,2013-07-18
bukkit,1.1-R3,-,2012-02-07
bukkit,1.8.3-R0.1-SNAPSHOT,-,2017-05-29
bukkit,1.2.4-R1.0,-,2012-03-31
bukkit,1.2.5-R4.0,-,2012-07-31
bukkit,1.1-R1-SNAPSHOT,-,2012-01-21
bukkit,1.2.5-R5.0,-,2012-07-31
spongeapi,1.1-SNAPSHOT,-,2017-03-05
spongeapi,1.1-SNAPSHOT,+,2015-03-07
nocheatplus,3.15.1-RC,-,2017-06-22
nocheatplus,3.15.1-RC,+,2017-04-23
