library,version,sign,date
jstl,1.2,+,2014-01-01
jstl,1.2,-,2014-01-01
jstl,1.2,-,2014-04-01
javax.servlet-api,3.0.1,-,2014-04-01
javax.servlet-api,3.0.1,-,2014-01-01
logback-classic,1.0.9,-,2014-01-01
logback-classic,1.0.13,-,2014-04-01
logback-classic,1.0.7,-,2014-01-01
thymeleaf,2.1.1.RELEASE,-,2014-01-01
thymeleaf,2.1.1.RELEASE,+,2014-01-01
thymeleaf,2.0.18,-,2014-01-01
thymeleaf,2.1.1.RELEASE,-,2014-04-01
thymeleaf,2.1.2.RELEASE,+,2014-01-01
thymeleaf,2.1.3.RELEASE,+,2014-04-01
thymeleaf,2.1.2.RELEASE,-,2014-04-01
