library,version,sign,date
maven-plugin-api,2.0,+,2015-08-19
maven-plugin-api,2.0,-,2015-08-19
junit,4.8.2,-,2012-06-28
junit,4.8.2,-,2012-07-16
junit,3.8.1,+,2015-08-19
junit,4.12,+,2015-08-26
junit,4.8.2,-,2014-11-16
junit,4.8.2,+,2012-07-09
junit,4.8.2,-,2012-07-01
junit,4.10,+,2012-07-01
junit,3.8.1,-,2015-08-19
junit,4.10,+,2014-11-16
junit,4.10,+,2015-08-18
junit,4.11,-,2015-08-18
junit,4.8.2,+,2012-06-28
junit,4.12,-,2015-08-26
junit,4.10,-,2015-08-18
junit,4.10,-,2014-11-16
junit,4.12,+,2014-11-16
junit,4.10,+,2012-07-16
maven-dependency-plugin,2.4,-,2015-08-19
maven-dependency-plugin,2.4,+,2012-07-14
maven-dependency-plugin,2.4,+,2015-08-19
maven-project,2.0.6,-,2015-08-19
maven-project,2.0.6,+,2015-08-19
maven-project,2.0.6,+,2012-06-28
