library,version,sign,date
jmockit,1.25,-,2016-07-29
jmockit,1.30,-,2017-03-25
jmockit,1.44,-,2019-09-13
jmockit,1.33,+,2017-06-29
jmockit,1.27,-,2016-10-04
jmockit,1.29,+,2016-10-24
jmockit,1.18,+,2015-07-13
jmockit,1.31,+,2017-03-25
jmockit,1.49,-,2019-12-30
jmockit,1.40,-,2018-09-23
jmockit,1.38,+,2018-03-17
jmockit,1.28,+,2016-10-04
jmockit,1.37,+,2017-12-17
jmockit,1.14,-,2015-03-22
jmockit,1.36.3,-,2017-12-17
jmockit,1.17,-,2015-07-13
jmockit,1.25,+,2016-05-23
jmockit,1.17,+,2015-04-13
jmockit,1.41,+,2018-09-23
jmockit,1.34,-,2017-10-14
jmockit,1.48,+,2019-09-15
jmockit,1.34,+,2017-09-18
jmockit,1.37,-,2018-03-17
jmockit,1.32,+,2017-05-25
jmockit,1.39,+,2018-04-08
jmockit,1.41,-,2018-12-30
jmockit,1.48,-,2019-12-27
jmockit,1.35,-,2017-11-18
jmockit,1.20,-,2016-01-10
jmockit,1.48,-,2019-12-30
jmockit,1.19,+,2015-09-08
jmockit,1.22,-,2016-05-23
jmockit,1.49,+,2019-12-27
jmockit,1.22,+,2016-03-18
jmockit,1.21,+,2016-01-10
jmockit,1.18,-,2015-09-08
jmockit,1.14,+,2014-07-06
jmockit,1.27,+,2016-09-04
jmockit,1.16,+,2015-03-22
jmockit,1.30,+,2017-01-23
jmockit,1.28,-,2016-10-24
jmockit,1.20,+,2015-11-01
jmockit,1.33,-,2017-09-18
jmockit,1.38,-,2018-04-08
jmockit,1.49,+,2019-12-30
jmockit,1.31,-,2017-05-25
jmockit,1.26,-,2016-09-04
jmockit,1.26,+,2016-07-29
jmockit,1.44,+,2018-12-30
jmockit,1.21,-,2016-03-18
jmockit,1.32,-,2017-06-29
jmockit,1.29,-,2017-01-23
jmockit,1.19,-,2015-11-01
jmockit,1.39,-,2018-06-17
jmockit,1.48,+,2019-12-30
jmockit,1.36.3,+,2017-11-18
jmockit,1.35,+,2017-10-14
jmockit,1.40,+,2018-06-17
jmockit,1.16,-,2015-04-13
jsr305,3.0.1,-,2017-04-02
jsr305,3.0.1,+,2016-02-11
jsr305,3.0.1,-,2016-03-18
jsr305,3.0.2,+,2017-04-02
