library,version,sign,date
appcompat-v7,19.1.0,+,2014-04-11
dagger,1.0.0,+,2013-05-18
dagger,1.0.0,-,2013-06-05
dagger,1.0.0,+,2013-07-11
dagger,1.2.0,+,2013-12-13
dagger,1.1.0,+,2013-12-06
dagger,1.0.0,-,2013-12-06
dagger,1.1.0,-,2013-12-13
dagger,1.0.1,-,2013-07-11
dagger,1.0.1,+,2013-06-05
junit,4.11,+,2013-08-22
wizardroid,1.2.0,+,2014-01-28
HoloColorPicker,1.4,+,2014-04-11
okhttp-transport,1.0-SNAPSHOT,+,2013-08-16
jackson-mapper-asl,1.9.12,-,2013-06-17
jackson-mapper-asl,1.9.12,+,2013-06-17
cupboard,1.0,-,2013-06-17
cupboard,1.0,+,2013-06-01
cupboard,1.0,+,2013-06-17
robolectric,2.2,+,2014-01-08
robolectric,2.2,+,2013-12-13
robolectric,2.2,-,2014-01-08
universal-image-loader,1.8.3,-,2013-06-17
universal-image-loader,1.8.3,+,2013-06-17
robospice-google-http-client,1.4.5,+,2013-12-06
robospice-google-http-client,1.4.0,-,2013-05-26
robospice-google-http-client,1.4.2,+,2013-05-26
robospice-google-http-client,1.4.2,-,2013-12-06
wasync,1.0.0.RC1,-,2013-07-11
wasync,1.0.0.RC5,-,2013-11-05
wasync,1.1.1,+,2013-11-05
wasync,1.0.0.RC1,-,2013-06-17
wasync,1.0.0.RC1,+,2013-06-17
wasync,1.0.0.RC5,+,2013-07-11
okhttp,1.1.0,+,2013-06-14
okhttp,1.2.0,+,2013-08-12
okhttp,1.0.2,-,2013-06-14
okhttp,1.2.1,+,2013-12-06
okhttp,1.2.0,-,2013-12-06
okhttp,1.0.2,+,2013-05-27
okhttp,1.1.0,-,2013-08-12
crouton,1.7,-,2013-06-17
crouton,1.7,-,2014-04-11
support-v4,r6,-,2013-05-16
support-v4,r13,-,2014-04-11
support-v4,r13,-,2013-06-17
support-v4,r13,+,2013-06-17
support-v4,r11,-,2013-06-06
