library,version,sign,date
org-openide-util-lookup,RELEASE80,-,2015-05-06
org-openide-util-lookup,RELEASE80,+,2015-04-14
org-openide-util-lookup,RELEASE80,+,2014-08-30
org-openide-nodes,RELEASE80,-,2015-05-06
org-openide-nodes,RELEASE80,+,2014-08-30
junit,4.10,+,2014-08-30
junit,4.10,+,2015-05-06
junit,4.12,-,2016-04-14
junit,4.10,-,2015-10-26
junit,4.10,-,2016-04-14
junit,4.10,+,2015-10-26
junit,4.10,-,2015-05-06
junit,4.12,+,2015-05-06
org-netbeans-api-annotations-common,RELEASE80,-,2015-05-06
org-netbeans-api-annotations-common,RELEASE80,+,2014-08-30
chart-api,0.1-SNAPSHOT,-,2015-10-26
chart-api,0.1-SNAPSHOT,-,2015-05-06
chart-api,0.1-SNAPSHOT,+,2015-05-06
utils,0.1-SNAPSHOT,+,2015-04-14
utils,0.1-SNAPSHOT,-,2015-10-26
utils,0.1-SNAPSHOT,-,2015-05-06
utils,0.1-SNAPSHOT,+,2015-05-06
dataset-api,0.1-SNAPSHOT,-,2015-10-26
fixtures-clustering,0.1-SNAPSHOT,+,2015-04-14
fixtures-clustering,0.1-SNAPSHOT,-,2015-10-26
fixtures-clustering,0.1-SNAPSHOT,-,2015-05-06
fixtures-clustering,0.1-SNAPSHOT,+,2014-08-30
fixtures-clustering,0.1-SNAPSHOT,+,2015-05-06
org-openide-util,RELEASE80,-,2015-05-06
org-openide-util,RELEASE80,+,2014-08-30
gui-utils,0.1-SNAPSHOT,-,2015-10-26
gui-utils,0.1-SNAPSHOT,-,2015-05-06
gui-utils,0.1-SNAPSHOT,+,2014-08-30
gui-utils,0.1-SNAPSHOT,+,2015-05-06
