library,version,sign,date
mockito-all,1.8.2,+,2010-09-20
spring-test,2.5.6,+,2010-09-20
simmetrics,1.6.2,+,2010-02-24
simmetrics,1.6.2,-,2010-02-24
bsh-core,2.0b4,+,2010-05-29
frontlinesms-plugin-forms,0.02.07-SNAPSHOT,-,2010-05-20
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,-,2010-02-24
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,+,2010-02-24
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,-,2010-01-14
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,+,2010-01-14
frontlinesms-plugin-forms,0.02.13-SNAPSHOT,-,2010-05-29
frontlinesms-plugin-forms,0.02.19-SNAPSHOT,-,2010-06-21
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,-,2010-02-09
frontlinesms-test,0.01.01,+,2010-09-20
opencsv,2.1,+,2010-02-24
jfreechart,1.0.9,-,2010-02-24
jfreechart,1.0.9,+,2010-02-24
jfreechart,1.0.12,+,2010-02-24
jfreechart,1.0.9,-,2010-02-09
frontlinesms,1.6.08-SNAPSHOT,-,2010-02-24
frontlinesms,1.6.08-SNAPSHOT,+,2010-02-24
frontlinesms,1.6.08-SNAPSHOT,-,2010-01-14
frontlinesms,1.6.13-SNAPSHOT,-,2010-05-29
frontlinesms,1.6.08-SNAPSHOT,-,2010-02-09
frontlinesms,1.6.15-SNAPSHOT,-,2010-06-21
frontlinesms,1.6.08-RC9-SNAPSHOT,-,2010-05-20
frontlinesms,1.6.08-SNAPSHOT,+,2010-01-14
