library,version,sign,date
oxalis-standalone,4.1.2,-,2020-03-02
oxalis-standalone,4.0.5-SNAPSHOT,-,2019-02-28
oxalis-standalone,4.0.4,-,2019-02-28
oxalis-standalone,4.0.4-SNAPSHOT,-,2018-11-27
oxalis-standalone,4.1.1,-,2020-02-06
oxalis-standalone,4.0.3-SNAPSHOT,-,2018-11-25
oxalis-standalone,4.1.1-SNAPSHOT,-,2019-09-18
oxalis-standalone,4.1.0,-,2019-09-18
oxalis-standalone,4.0.3,-,2018-11-27
oxalis-standalone,4.1.2-SNAPSHOT,-,2020-02-06
oxalis-statistics,4.1.2,-,2020-03-02
oxalis-statistics,4.0.5-SNAPSHOT,-,2019-02-28
oxalis-statistics,4.0.4,-,2019-02-28
oxalis-statistics,4.0.4-SNAPSHOT,-,2018-11-27
oxalis-statistics,4.1.1,-,2020-02-06
oxalis-statistics,4.0.3-SNAPSHOT,-,2018-11-25
oxalis-statistics,4.1.1-SNAPSHOT,-,2019-09-18
oxalis-statistics,4.1.0,-,2019-09-18
oxalis-statistics,4.0.3,-,2018-11-27
oxalis-statistics,4.1.2-SNAPSHOT,-,2020-02-06
