library,version,sign,date
org.osgi.core,5.0.0,+,2013-11-05
org.osgi.core,5.0.0,-,2013-11-14
aws-s3,1.6.0-alpha.2,-,2013-04-16
aws-s3,1.7.0,-,2014-01-28
aws-s3,1.6.2-incubating,-,2013-12-01
aws-s3,1.6.3,-,2013-12-09
aws-s3,1.6.0-alpha.2,-,2013-03-13
aws-s3,1.6.0-alpha.2,+,2013-03-13
aws-s3,1.6.0,-,2013-12-09
aws-s3,1.6.2-incubating,-,2013-12-09
aws-s3,1.6.0,-,2013-11-14
aws-s3,1.6.3,-,2013-12-16
aws-s3,1.6.0-alpha.2,+,2012-11-29
filesystem,1.6.0-alpha.2,-,2013-04-16
filesystem,1.7.0,-,2014-01-28
filesystem,1.6.2-incubating,-,2013-12-01
filesystem,1.6.3,-,2013-12-09
filesystem,1.6.0-alpha.2,-,2013-03-13
filesystem,1.6.0-alpha.2,+,2013-03-13
filesystem,1.6.0,-,2013-12-09
filesystem,1.6.2-incubating,-,2013-12-09
filesystem,1.6.0,-,2013-11-14
filesystem,1.6.3,-,2013-12-16
filesystem,1.6.0-alpha.2,+,2012-11-29
commons,2.5-SNAPSHOT,-,2013-03-13
commons,2.4-SNAPSHOT,-,2012-09-20
commons,2.3-SNAPSHOT,-,2012-09-17
commons,2.4,-,2012-11-29
commons,2.3-SNAPSHOT,-,2012-09-20
commons,2.6-SNAPSHOT,-,2013-03-13
commons,2.2-SNAPSHOT,+,2011-12-30
commons,2.5.3-SNAPSHOT,-,2017-01-03
commons,2.5.3-SNAPSHOT,-,2013-12-15
commons,2.5.3-SNAPSHOT,-,2013-12-16
commons,2.5.4-SNAPSHOT,-,2017-01-06
commons,2.3-SNAPSHOT,+,2012-09-17
commons,2.6.0,-,2018-01-22
commons,2.5.1-SNAPSHOT,+,2013-03-13
commons,2.5.1-SNAPSHOT,-,2013-12-01
commons,2.5,-,2013-03-13
commons,2.2-SNAPSHOT,+,2012-05-04
commons,2.5.1-SNAPSHOT,-,2013-12-09
commons,2.5.2-SNAPSHOT,-,2013-12-16
commons,2.3,-,2012-09-20
commons,2.5.2-SNAPSHOT,-,2013-12-09
commons,2.3-SNAPSHOT,-,2012-05-08
commons,2.5.1-SNAPSHOT,-,2013-12-16
commons,2.5.3,-,2017-01-03
commons,2.2,-,2012-05-08
commons,2.2-SNAPSHOT,-,2012-05-07
commons,2.5.1,-,2013-12-09
commons,2.2-SNAPSHOT,-,2012-05-04
commons,2.5.1-SNAPSHOT,-,2013-03-13
commons,2.5-SNAPSHOT,+,2012-11-29
commons,2.3-SNAPSHOT,+,2012-05-08
commons,2.2-SNAPSHOT,+,2010-01-12
commons,2.5.2,-,2013-12-15
commons,2.5.2-SNAPSHOT,-,2014-01-28
commons,2.5.2,-,2013-12-16
commons,2.2-SNAPSHOT,-,2011-12-30
commons,2.5-SNAPSHOT,-,2012-11-29
jclouds-blobstore,1.7.0,-,2014-01-28
jclouds-blobstore,1.6.0-alpha.2,-,2013-12-09
jclouds-blobstore,1.6.2-incubating,-,2013-12-01
jclouds-blobstore,1.6.3,-,2013-12-09
jclouds-blobstore,1.6.0-alpha.2,-,2013-03-13
jclouds-blobstore,1.6.0-alpha.2,+,2013-03-13
jclouds-blobstore,1.6.2-incubating,-,2013-12-09
jclouds-blobstore,1.6.0-alpha.2,-,2013-11-14
jclouds-blobstore,1.6.3,-,2013-12-16
jclouds-blobstore,1.6.0-alpha.2,+,2012-11-29
