library,version,sign,date
cfg4j-core,4.4.0,-,2017-10-24
cfg4j-core,4.4.0,+,2017-06-09
imageio-jpeg,3.2.1,+,2016-10-01
imageio-jpeg,3.2.1,-,2017-10-27
imageio-jpeg,3.2.1,-,2017-10-24
imageio-jpeg,3.2.1,+,2016-10-20
aparapi-jni,1.1.2,+,2018-02-24
aparapi-jni,1.1.2,-,2017-09-09
sqlite-jdbc,3.7.15-M1,-,2017-05-23
sqlite-jdbc,3.7.2,-,2017-03-28
sqlite-jdbc,3.7.2,-,2017-05-24
sqlite-jdbc,3.7.2,+,2016-10-20
ormlite-jdbc,4.47,+,2016-10-20
ormlite-jdbc,4.47,-,2017-06-09
ormlite-core,4.47,+,2016-10-20
ormlite-core,4.47,-,2017-06-09
imgscalr-lib,4.2,+,2016-10-20
imgscalr-lib,4.2,+,2016-08-09
flyway-core,4.2.0,-,2017-11-06
flyway-core,4.2.0,+,2017-03-28
Open-Imaging,ad64c47f1a,+,2016-10-04
Open-Imaging,ad64c47f1a,+,2016-10-20
commonj,v0.2.0,-,2018-02-17
commonj,v0.2.0,+,2016-10-20
imageio-core,3.2.1,+,2016-10-01
imageio-core,3.2.1,-,2017-10-27
imageio-core,3.2.1,-,2017-10-24
imageio-core,3.2.1,+,2016-10-20
jimfs,1.1,+,2017-05-24
jimfs,1.1,+,2016-10-27
jimfs,1.1,-,2017-05-24
guava,21.0-rc1,-,2017-06-09
guava,19.0,-,2016-11-18
guava,19.0,-,2017-06-09
guava,19.0,+,2016-10-20
guava,19.0,-,2016-10-27
guava,21.0-rc1,+,2016-11-18
guava,19.0,+,2016-10-27
guava,19.0,+,2016-08-09
guava,23.2-jre,-,2018-02-24
aparapi,1.4.0,-,2017-09-09
aparapi,1.4.0,+,2018-02-24
