library,version,sign,date
hibernate-jpa-2.0-api,1.0.1.Final,+,2012-07-01
hibernate-jpa-2.0-api,1.0.1.Final,+,2012-03-21
hibernate-jpa-2.0-api,1.0.1.Final,-,2012-07-01
hibernate-jpa-2.0-api,1.0.1.Final,-,2012-11-28
junit,4.8.1,-,2013-02-04
junit,4.8.1,-,2012-07-01
junit,4.8.1,-,2012-02-24
junit,4.8.1,-,2012-11-25
junit,4.8.1,-,2012-11-28
junit,4.8.1,-,2013-02-13
junit,4.8.1,+,2012-07-01
junit,4.8.1,+,2012-03-21
drools-compiler,5.6.0.Final,+,2014-05-23
drools-compiler,5.5.0-SNAPSHOT,-,2013-02-04
drools-compiler,5.5.0.Final,+,2012-12-10
drools-compiler,5.5.0.Final,-,2013-02-04
drools-compiler,5.5.1-SNAPSHOT,-,2013-02-09
drools-compiler,5.4.0-SNAPSHOT,-,2012-03-30
maven-hyperjaxb3-plugin,0.5.6,-,2013-02-09
maven-hyperjaxb3-plugin,0.5.6,+,2012-08-01
maven-hyperjaxb3-plugin,0.5.6,+,2012-11-28
maven-hyperjaxb3-plugin,0.5.6,-,2012-07-01
maven-hyperjaxb3-plugin,0.5.6,+,2012-02-24
maven-hyperjaxb3-plugin,0.5.6,-,2012-11-28
maven-hyperjaxb3-plugin,0.5.6,+,2012-07-01
maven-hyperjaxb3-plugin,0.5.6,-,2013-02-03
sesame-rio-turtle,2.3.0,-,2012-08-25
sesame-rio-turtle,2.6.9,-,2014-03-29
sesame-rio-turtle,2.3.0,+,2012-07-18
hsqldb,2.2.6,+,2012-07-01
hsqldb,2.2.6,+,2012-03-21
hsqldb,2.2.6,-,2012-08-25
hsqldb,2.2.6,-,2012-07-01
hsqldb,2.2.9,+,2012-11-28
hsqldb,2.0.0,-,2012-02-24
hibernate-core,3.5.6-Final,+,2012-11-28
hibernate-core,3.5.6-Final,+,2012-07-01
hibernate-core,3.5.6-Final,+,2012-03-21
hibernate-core,3.5.6-Final,+,2012-08-25
hibernate-core,3.5.6-Final,-,2012-12-17
hibernate-core,3.5.6-Final,-,2012-08-25
hibernate-core,3.5.6-Final,-,2012-07-01
hibernate-annotations,3.5.6-Final,+,2012-11-28
hibernate-annotations,3.5.6-Final,+,2012-07-01
hibernate-annotations,3.5.6-Final,+,2012-03-21
hibernate-annotations,3.5.6-Final,+,2012-08-25
hibernate-annotations,3.5.6-Final,-,2012-12-17
hibernate-annotations,3.5.6-Final,-,2012-08-25
hibernate-annotations,3.5.6-Final,-,2012-07-01
hyperjaxb3,0.5.6,-,2013-02-09
hyperjaxb3,0.5.6,+,2012-02-24
hyperjaxb3,0.5.6,-,2012-11-28
hyperjaxb3,0.5.6,+,2012-08-01
hyperjaxb3,0.5.6,+,2012-11-28
hyperjaxb3,0.5.6,+,2012-07-01
hyperjaxb3,0.5.6,-,2012-07-01
hibernate-entitymanager,3.5.6-Final,+,2012-11-28
hibernate-entitymanager,3.5.6-Final,+,2012-07-01
hibernate-entitymanager,3.5.6-Final,+,2012-03-21
hibernate-entitymanager,3.5.6-Final,+,2012-08-25
hibernate-entitymanager,3.5.6-Final,-,2012-12-17
hibernate-entitymanager,3.5.6-Final,-,2012-08-25
hibernate-entitymanager,3.5.6-Final,-,2012-07-01
empire,0.8.4,+,2014-05-23
sesame,0.8.4,+,2014-05-23
hibernate-commons-annotations,3.2.0.Final,+,2012-11-28
hibernate-commons-annotations,3.2.0.Final,+,2012-08-25
hibernate-commons-annotations,3.2.0.Final,+,2012-07-01
hibernate-commons-annotations,3.2.0.Final,-,2012-07-01
hibernate-commons-annotations,3.2.0.Final,-,2012-08-25
hibernate-commons-annotations,3.2.0.Final,-,2012-12-17
hibernate-commons-annotations,3.2.0.Final,+,2012-03-21
guice,3.0,+,2012-07-01
guice,3.0,+,2012-03-30
openrdf,2.0.2,+,2014-05-26
