library,version,sign,date
easymock,3.0,+,2012-03-30
easymock,3.0,-,2012-03-22
junit,4.8.2,-,2012-03-22
junit,4.8.2,+,2012-03-30
bukkit,1.2.4-R1.1-SNAPSHOT,-,2012-04-04
bukkit,1.2.3-R0.2-SNAPSHOT,-,2012-03-21
bukkit,1.1-R5-SNAPSHOT,-,2012-02-21
bukkit,1.5.1-R0.1,-,2016-04-22
bukkit,1.2.5-R1.0,-,2012-05-08
bukkit,1.2.4-R1.1-SNAPSHOT,+,2012-03-30
bukkit,1.12-R0.1-SNAPSHOT,-,2020-01-17
bukkit,1.2.3-R0.3-SNAPSHOT,-,2012-03-22
bukkit,1.2.3-R0.2-SNAPSHOT,-,2012-03-22
bukkit,1.4.5-R0.3-SNAPSHOT,-,2012-12-18
bukkit,1.2.5-R4.0,-,2012-12-18
powermock-module-junit4,1.4.9,-,2012-03-22
powermock-module-junit4,1.4.9,+,2012-03-30
BukkitPlugin,1.2-SNAPSHOT,-,2012-03-22
BukkitPlugin,1.2-SNAPSHOT,+,2012-03-30
BukkitPlugin,1.1-SNAPSHOT,-,2012-03-19
BukkitPlugin,1.2-SNAPSHOT,-,2012-04-16
BukkitPlugin,1.1-SNAPSHOT,+,2012-02-21
powermock-api-easymock,1.4.9,-,2012-03-22
powermock-api-easymock,1.4.9,+,2012-03-30
Multiverse-Adventure,2.4,+,2012-04-27
powermock-api-mockito,1.4.9,-,2012-03-22
powermock-api-mockito,1.4.9,+,2012-03-30
