library,version,sign,date
org.eclipse.scout.rt.server,6.2.0-SNAPSHOT,-,2016-07-08
org.eclipse.scout.rt.server,5.1.0.R002,-,2015-08-31
org.eclipse.scout.rt.server,5.1.0.R006,-,2015-09-09
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-09-07
org.eclipse.scout.rt.server,10-SNAPSHOT,-,2019-07-09
org.eclipse.scout.rt.server,9.0.0-SNAPSHOT,-,2018-12-19
org.eclipse.scout.rt.server,8.1.0-SNAPSHOT,-,2018-09-07
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-09-01
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-09-09
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-09-08
org.eclipse.scout.rt.server,5.1.0.R005,-,2015-09-08
org.eclipse.scout.rt.server,7.0.0-SNAPSHOT,-,2017-05-05
org.eclipse.scout.rt.server,6.0.0-SNAPSHOT,-,2016-01-29
org.eclipse.scout.rt.server,7.1.0-SNAPSHOT,-,2017-09-28
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-08-31
org.eclipse.scout.rt.server,8.0.0-SNAPSHOT,-,2018-03-30
org.eclipse.scout.rt.server,6.1.0-SNAPSHOT,-,2016-06-02
org.eclipse.scout.rt.server,5.2.0-SNAPSHOT,+,2015-09-14
org.eclipse.scout.rt.server,7.0.100-SNAPSHOT,-,2017-07-05
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,-,2015-05-18
org.eclipse.scout.rt.server,5.2.0.B003,-,2015-11-24
org.eclipse.scout.rt.server,5.2.0-SNAPSHOT,-,2015-12-03
org.eclipse.scout.rt.server,5.2.0-SNAPSHOT,-,2015-11-16
org.eclipse.scout.rt.server,10.0.0-SNAPSHOT,-,2019-03-27
org.eclipse.scout.rt.server,5.1.0.R004,-,2015-09-07
org.eclipse.scout.rt.server,6.1.0-SNAPSHOT,-,2016-08-19
org.eclipse.scout.rt.server,5.1.0-SNAPSHOT,+,2015-09-01
org.eclipse.scout.rt.server,5.2.0-SNAPSHOT,-,2015-09-14
org.eclipse.scout.rt.server,5.1.0.R003,-,2015-09-01
org.eclipse.scout.rt.server,5.1.0.R004,+,2015-09-01
jakarta.jws-api,1.1.1,+,2020-03-02
