library,version,sign,date
commons-configuration,1.9,+,2014-07-25
commons-configuration,1.9,-,2014-07-25
junit,4.8.2,-,2014-07-25
junit,4.8.2,+,2014-07-25
slf4j-log4j12,1.7.5,-,2014-07-25
slf4j-log4j12,1.7.5,+,2014-07-25
jersey-spring,1.17.1,-,2014-07-25
jersey-spring,1.17.1,+,2014-07-25
jersey-spring,1.17.1,+,2014-02-10
ant,1.9.3,+,2014-01-12
ant,1.9.3,-,2014-07-25
ant,1.9.3,+,2014-07-25
jetty-server,8.1.8.v20121106,-,2014-07-25
jetty-server,8.1.8.v20121106,+,2014-07-25
slf4j-api,1.7.5,-,2014-07-25
slf4j-api,1.7.5,+,2014-07-25
jackson-core-lgpl,1.7.8,+,2014-02-10
jackson-core-lgpl,1.7.8,+,2014-07-25
jackson-core-lgpl,1.7.8,-,2014-07-25
json-simple,1.1,-,2014-07-25
json-simple,1.1,+,2014-07-25
json-simple,1.1,+,2014-02-10
jetty-webapp,8.1.8.v20121106,-,2014-07-25
jetty-webapp,8.1.8.v20121106,+,2014-07-25
guava,14.0.1,+,2014-07-25
guava,14.0.1,-,2014-07-25
httpclient,4.2.4,-,2014-07-25
httpclient,4.2.4,+,2014-07-25
httpclient,4.2.4,+,2014-02-10
ehcache-core,2.6.5,+,2014-02-10
ehcache-core,2.6.5,+,2014-07-25
ehcache-core,2.6.5,-,2014-07-25
