library,version,sign,date
publication-common,0.0.1-SNAPSHOT,+,2015-09-30
publication-common,0.0.1-SNAPSHOT,+,2014-06-04
publication-common,0.0.1-SNAPSHOT,-,2015-09-30
publication-common,0.0.1-SNAPSHOT,+,2015-02-04
commons-io,2.4,+,2014-06-04
morphia,0.99.1-SNAPSHOT,-,2012-11-12
morphia,0.99.1-SNAPSHOT,+,2012-10-06
morphia,0.99,+,2012-10-16
morphia,0.99.1-patched,+,2013-10-15
morphia,0.99.1-patched,+,2014-12-10
morphia,0.99.1-patched,-,2014-06-04
morphia,0.99,-,2014-06-04
morphia,0.99.1-patched,-,2015-09-30
morphia,0.99,+,2013-10-15
morphia,0.99.1-patched,+,2015-09-30
morphia,0.99.1-patched,+,2014-06-04
morphia,0.99.1-patched,-,2014-12-10
morphia,0.99.1-SNAPSHOT,-,2013-10-15
corelib-lookup,2.1-SNAPSHOT,-,2015-09-30
corelib-lookup,2.1-SNAPSHOT,+,2015-02-04
de.flapdoodle.embed.mongo,1.46.4,+,2014-12-10
de.flapdoodle.embed.mongo,1.46.4,-,2014-12-10
de.flapdoodle.embed.mongo,1.46.4,+,2015-09-30
de.flapdoodle.embed.mongo,1.33,+,2012-11-29
de.flapdoodle.embed.mongo,1.46.4,-,2015-02-04
de.flapdoodle.embed.mongo,1.33,+,2014-06-04
de.flapdoodle.embed.mongo,1.46.4,+,2015-02-04
de.flapdoodle.embed.mongo,1.33,-,2014-06-04
de.flapdoodle.embed.mongo,1.46.4,+,2014-06-04
de.flapdoodle.embed.mongo,1.46.4,-,2015-09-30
