library,version,sign,date
org.apache.felix.framework,3.2.2,+,2012-05-09
org.apache.felix.framework,3.2.2,-,2013-04-10
skysail.server,[0.2.6-SNAPSHOT, 1.0),+,2012-05-09
skysail.server,[0.3.0, 1.0),+,2013-04-10
skysail.server,[0.2.4-SNAPSHOT, 1.0),+,2012-05-09
skysail.server,[0.2.12, 1.0),-,2013-04-10
skysail.server,[0.2.6-SNAPSHOT, 1.0),-,2013-04-10
skysail.server,[0.2.12, 1.0),+,2012-05-09
skysail.server,0.2.12-SNAPSHOT,+,2012-05-09
skysail.server,[0.2.13-SNAPSHOT, 1.0),+,2012-05-09
skysail.server,[0.2.5-SNAPSHOT, 1.0),+,2012-05-09
skysail.server,[0.2.1-SNAPSHOT, 1.0),+,2012-05-09
skysail.server,[0.3.1-SNAPSHOT, 1.0),+,2013-04-10
skysail.server,[0.1.6,0.2),-,2013-04-10
skysail.server,[0.2.13-SNAPSHOT, 1.0),-,2013-04-10
skysail.server,[0.2.13-SNAPSHOT, 1.0),+,2013-04-10
skysail.server,[0.2.10, 1.0),-,2013-04-10
skysail.server,[0.2.0,0.3),-,2012-05-09
skysail.server,[0.2.10, 1.0),+,2012-05-09
skysail.server,[0.2.4, 1.0),+,2012-05-09
groovy-all,1.8.4,+,2012-05-09
groovy-all,2.1.2,+,2012-05-09
h2,1.2.132,+,2012-05-09
activiti-engine,5.9,-,2012-05-09
javax.inject,1,+,2012-05-09
javax.inject,1,-,2013-04-10
