library,version,sign,date
httpmime,4.0.1,-,2012-10-26
httpmime,4.0.1,+,2010-08-20
httpmime,4.0.1,-,2010-08-20
httpmime,4.0.1,+,2010-04-19
commons-pool,1.5.4,+,2013-07-28
commons-pool,1.5.4,-,2013-10-28
jaxrpc-api,1.1,+,2011-04-03
jaxrpc-api,1.1,-,2012-01-09
jaxrpc-api,1.1,+,2010-07-02
jaxrpc-api,1.1,-,2011-04-03
jaxrpc-api,1.1,-,2012-04-30
jaxrpc-api,1.1,+,2012-01-09
jaxrpc-api,1.1,-,2010-07-02
jaxrpc-api,1.1,+,2012-04-30
log4j-over-slf4j,1.5.10,+,2010-01-20
log4j-over-slf4j,1.5.10,-,2011-07-08
log4j-over-slf4j,1.5.10,-,2011-11-08
log4j-over-slf4j,1.5.11,-,2012-04-18
log4j-over-slf4j,1.5.11,-,2011-12-11
joda-time,1.5.2,+,2012-11-15
saxon,9.0,-,2012-04-30
saxon,9.0,-,2012-01-09
saxon,9.0,+,2011-04-03
saxon,9.0,+,2012-04-30
saxon,9.0,+,2011-01-18
saxon,9.0,+,2010-07-02
saxon,9.0,-,2010-07-02
saxon,9.0,-,2011-04-03
saxon,9.0,+,2012-01-09
mulgara-core,2.1.11,-,2011-12-11
mulgara-core,2.1.12,-,2013-08-28
mulgara-core,2.1.4,-,2011-11-08
mulgara-core,2.1.11,-,2012-01-02
mulgara-core,2.1.4,-,2011-07-08
commons-io,2.4,-,2013-08-21
commons-io,2.3,-,2013-07-28
commons-io,2.0.1,+,2011-04-03
commons-io,2.0.1,-,2013-08-28
commons-io,1.4,-,2011-04-03
commons-io,1.4,-,2012-04-30
commons-io,1.4,+,2010-07-02
commons-io,2.4,+,2013-08-21
commons-io,1.4,-,2010-07-02
commons-io,1.4,+,2011-04-03
dom4j,1.6.1,-,2012-01-09
dom4j,1.6.1,-,2010-07-02
dom4j,1.6.1,-,2011-04-03
dom4j,1.6.1,+,2010-07-02
dom4j,1.6.1,-,2012-04-30
dom4j,1.6.1,+,2011-01-18
dom4j,1.6.1,+,2012-01-09
dom4j,1.6.1,+,2012-04-30
dom4j,1.6.1,+,2011-04-03
wsdl4j,1.5.1,-,2011-08-30
wsdl4j,1.5.1,-,2010-01-20
wsdl4j,1.6.2,+,2012-04-30
wsdl4j,1.5.1,+,2012-01-09
wsdl4j,1.6.2,-,2012-04-30
wsdl4j,1.5.1,-,2012-01-09
slf4j-api,1.5.10,+,2010-01-20
slf4j-api,1.5.10,-,2011-07-08
slf4j-api,1.5.10,-,2011-11-08
slf4j-api,1.5.11,-,2012-04-18
slf4j-api,1.5.11,-,2011-12-11
slf4j-api,1.5.2,-,2010-01-20
jcl-over-slf4j,1.5.10,+,2010-01-20
jcl-over-slf4j,1.5.10,-,2011-07-08
jcl-over-slf4j,1.5.10,-,2011-11-08
jcl-over-slf4j,1.5.11,-,2012-04-18
jcl-over-slf4j,1.5.11,-,2011-12-11
commons-codec,1.6,-,2012-11-15
commons-codec,1.3,-,2011-07-26
commons-codec,1.5,-,2012-01-09
commons-codec,1.5,+,2011-12-11
commons-codec,1.5,+,2012-01-09
commons-codec,1.5,-,2012-04-30
commons-codec,1.3,+,2011-07-26
commons-codec,1.3,-,2011-12-11
commons-codec,20041127.091804,+,2011-12-11
commons-codec,1.3,-,2012-04-30
commons-codec,1.3,+,2010-07-02
commons-codec,1.3,-,2011-04-03
commons-codec,1.6,+,2012-04-30
commons-codec,1.3,-,2010-07-02
commons-codec,1.5,-,2011-08-30
commons-codec,1.5,+,2011-08-30
commons-codec,1.3,+,2011-04-03
commons-codec,20041127.091804,-,2011-08-30
httpclient,4.0.1,-,2012-10-26
httpclient,4.0,-,2010-04-19
httpclient,4.0.1,+,2010-08-20
httpclient,4.0.1,-,2010-08-20
servlet-api,2.4,-,2012-06-14
